region,timePeriod,R
1,1,34971.6373080067
1,2,35689.77653547611
1,3,36176.48469455542
1,4,36481.1685279128
1,5,36642.85130007298
1,6,36692.35340844931
1,7,36654.015065252686
1,8,36547.057215401575
1,9,36389.78462760534
1,10,36190.363188971925
1,11,36294.680379132566
1,12,36412.40724287515
1,13,36549.64983936765
1,14,36701.06237663179
1,15,36866.984968628654
1,16,37047.76926439422
1,17,37243.77879571115
1,18,37455.38933565769
1,19,37682.989268369776
1,20,37926.97997036287
1,21,38115.38622085267
1,22,38319.50636639356
1,23,38539.72880471928
1,24,38776.45496122342
1,25,39030.09968294361
1,26,39301.0916448579
1,27,39589.87376887411
1,28,39896.90365590456
1,29,40222.654031431004
1,30,40567.61320497683
1,31,40829.37993778523
1,32,41109.21973207613
1,33,41407.59326982787
1,34,41724.976509989334
1,35,42061.861152107835
1,36,42418.75511442892
1,37,42796.1830269159
1,38,43155.60760757974
1,39,43478.4618627941
1,40,43757.91010214871
1,41,43878.98159497827
1,42,43991.53617702894
1,43,44086.75170480168
1,44,44165.82221611843
1,45,44236.851293486165
1,46,44294.22781914897
1,47,44340.2195594761
1,48,44376.86014352212
1,49,44405.90833217958
1,50,44428.84774144465
1,51,44397.686339328495
1,52,44378.45671636955
1,53,44368.737249932696
1,54,44361.339512081315
1,55,44361.00733057585
1,56,44360.92436979326
1,57,44366.362681682105
1,58,44370.750994442526
1,59,44374.299449288104
1,60,44377.18010624753
1,61,44348.77806769346
1,62,44326.725428441714
1,63,44314.76580797373
1,64,44305.634038276556
1,65,44298.71231295882
1,66,44293.513816065024
1,67,44289.65628576845
1,68,44286.84043669244
1,69,44290.13549913901
1,70,44298.26594522064
1,71,44278.383625788854
1,72,44268.11830211054
1,73,44260.297783733076
1,74,44259.63461758612
1,75,44259.3179125946
1,76,44259.259264023945
1,77,44259.39324761614
1,78,44259.671271235806
1,79,44260.057122480735
1,80,44260.52373002765
1,81,44240.91247081177
1,82,44225.77684621504
1,83,44214.17166809581
1,84,44205.340919175695
1,85,44198.68358107536
1,86,44198.97076417447
1,87,44199.42720607791
1,88,44200.000555859006
1,89,44205.98761624979
1,90,44210.857181744934
1,91,44191.17290781796
1,92,44175.99068787147
1,93,44164.36361506423
1,94,44155.53288904464
1,95,44148.89436849864
1,96,44143.969578720076
1,97,44140.38121549689
1,98,44137.8328266421
1,99,44136.09219044949
1,100,44134.9778629071
1,101,44112.676026984846
1,102,44095.516865453006
1,103,44082.41140996485
1,104,44072.48963122537
1,105,44070.252888212766
1,106,44068.82030318408
1,107,44068.00105092001
1,108,44067.649755599225
1,109,44067.65553944972
1,110,44067.93375063992
1,111,44048.27205041722
1,112,44033.2011044176
1,113,44021.75021821164
1,114,44013.14328504579
1,115,44006.76351791238
1,116,44002.12316324019
1,117,43998.83808106719
1,118,43996.606764135686
1,119,44000.46821174167
1,120,44003.802719752995
1,121,43982.26038462309
1,122,43965.7527678344
1,123,43953.216678794066
1,124,43943.801552842706
1,125,43936.8311040646
1,126,43931.7703153592
1,127,43928.19768487488
1,128,43925.7822894679
1,129,43924.26507371465
1,130,43923.44373906085
1,131,43851.557147802116
1,132,43791.777205686056
1,133,43744.335867501366
1,134,43709.47371214857
1,135,43687.440195652285
1,136,43678.49391216035
1,137,43677.15604471037
1,138,43680.017392375004
1,139,43684.9968284618
1,140,43690.85739486709
1,141,43645.945442423465
1,142,43613.63450477094
1,143,43594.17528051486
1,144,43583.02890626363
1,145,43577.218877350504
1,146,43574.80172454476
1,147,43574.515164442404
1,148,43575.544634546066
1,149,43577.36870380493
1,150,43487.2828340943
1,151,43229.97811425156
1,152,42937.95713882262
1,153,42619.397823948115
1,154,42280.75184835448
1,155,41948.206320598794
2,1,8878.80949223539
2,2,9013.950605619963
2,3,9089.294784502583
2,4,9120.694279827343
2,5,9119.861452531544
2,6,9095.449309362555
2,7,9053.850018601257
2,8,8999.785012938833
2,9,8936.741075262378
2,10,8867.29260581247
2,11,8816.64584955217
2,12,8756.580730537238
2,13,8689.78181310802
2,14,8624.626928677277
2,15,8561.145510974753
2,16,8499.368855473716
2,17,8439.3302021093
2,18,8381.064821932472
2,19,8324.610107884093
2,20,8270.005669882232
2,21,8252.110790449779
2,22,8237.44070314317
2,23,8226.10631467773
2,24,8218.224150969543
2,25,8213.916617172055
2,26,8213.312269975013
2,27,8216.546102741753
2,28,8223.75984408775
2,29,8235.102270531836
2,30,8250.729533881075
2,31,8290.207733752724
2,32,8335.024469900549
2,33,8385.395822920706
2,34,8441.548377503463
2,35,8503.719712642554
2,36,8560.534094047212
2,37,8607.647119008303
2,38,8644.256391342215
2,39,8671.189022453273
2,40,8689.888211483994
2,41,8712.760936250967
2,42,8729.121570519199
2,43,8740.392990948701
2,44,8747.74470837683
2,45,8752.110423850558
2,46,8754.220699959413
2,47,8753.258566722578
2,48,8750.053551877925
2,49,8746.518524531773
2,50,8741.454936672728
2,51,8755.929675804298
2,52,8764.014223281849
2,53,8768.870235667244
2,54,8771.312380924724
2,55,8770.570022901918
2,56,8768.850661192626
2,57,8766.415391683986
2,58,8762.143933777512
2,59,8756.542430019243
2,60,8751.245677543879
2,61,8767.221445840885
2,62,8776.411582072013
2,63,8780.60605498322
2,64,8781.144022882421
2,65,8779.019118406331
2,66,8774.963801230082
2,67,8769.515192105686
2,68,8763.065505138919
2,69,8755.900153067147
2,70,8748.226238670799
2,71,8762.33456472981
2,72,8770.192388420426
2,73,8773.446092292654
2,74,8773.328660470826
2,75,8770.755671455174
2,76,8767.713939942767
2,77,8763.032077699012
2,78,8757.164534189404
2,79,8750.444365312596
2,80,8744.359766208863
2,81,8761.14392423516
2,82,8770.967845996433
2,83,8775.664375036702
2,84,8776.605971474859
2,85,8774.811689695593
2,86,8771.03314690812
2,87,8765.821759110353
2,88,8759.580325756873
2,89,8753.855868749315
2,90,8748.528412281465
2,91,8764.787256303318
2,92,8774.239023128015
2,93,8778.677664615072
2,94,8780.865542841651
2,95,8779.99504694061
2,96,8776.901217397954
2,97,8772.198419270437
2,98,8766.336471271274
2,99,8759.643420628166
2,100,8752.357736103699
2,101,8747.445940134468
2,102,8746.466015850345
2,103,8747.51085671905
2,104,8748.337332808873
2,105,8747.997651442342
2,106,8746.212996843533
2,107,8743.02651968625
2,108,8738.616521902017
2,109,8733.200146652061
2,110,8726.98716974005
2,111,8743.512440643803
2,112,8753.247042487612
2,113,8757.96529523068
2,114,8760.422392979017
2,115,8759.806992136433
2,116,8756.954658090996
2,117,8752.481437184526
2,118,8746.839144648853
2,119,8740.357738567212
2,120,8733.277348164125
2,121,8748.03035100516
2,122,8756.452822656398
2,123,8760.212469542648
2,124,8760.557979513685
2,125,8758.41643838361
2,126,8754.471590695282
2,127,8749.22503425561
2,128,8743.043162388769
2,129,8736.192668610765
2,130,8728.867114488085
2,131,8725.744275486373
2,132,8726.608458985405
2,133,8728.15331569504
2,134,8728.868345992534
2,135,8728.192458717103
2,136,8707.982646308636
2,137,8691.127321296652
2,138,8677.741101102989
2,139,8667.944420603171
2,140,8661.863801242378
2,141,8656.408396109053
2,142,8654.82221697238
2,143,8657.24586115382
2,144,8660.21447083422
2,145,8662.163696568132
2,146,8662.530111699172
2,147,8661.24835141779
2,148,8658.476878237307
2,149,8654.45376447775
2,150,8649.425103422585
2,151,8625.854131112957
2,152,8586.095892779305
2,153,8534.598657751869
2,154,8474.647463136715
2,155,8408.667739765535
3,1,42559.1251369688
3,2,44412.45837220014
3,3,45057.65969307343
3,4,45127.78087853924
3,5,44925.39660973939
3,6,44595.1137557551
3,7,44206.0308097876
3,8,43791.15349726977
3,9,43366.23543418433
3,10,42939.175062908405
3,11,48774.34497865154
3,12,55052.32812854702
3,13,62012.43794556854
3,14,69503.7973122844
3,15,77569.16178502684
3,16,82004.93741396844
3,17,83675.96938379528
3,18,84029.94657237332
3,19,84511.48411981958
3,20,85093.95325284498
3,21,84772.21753414713
3,22,84496.03547774271
3,23,84268.33845141731
3,24,84092.29946163131
3,25,83978.97936845849
3,26,83946.90155566632
3,27,83979.76147947345
3,28,84082.07911919164
3,29,84139.47079681429
3,30,84152.40753767142
3,31,84003.18357752383
3,32,83931.67409966447
3,33,83899.12996781767
3,34,83885.73626327231
3,35,83881.63504157917
3,36,83882.00420581966
3,37,83884.5102969649
3,38,83888.03205590798
3,39,83892.03321182163
3,40,83870.88734922047
3,41,83721.40926890398
3,42,83649.31027971931
3,43,83616.43045414923
3,44,83602.95449586619
3,45,83598.9339554154
3,46,83599.47467189824
3,47,83602.19961565721
3,48,83605.96383967182
3,49,83610.2188672765
3,50,83614.70291555728
3,51,83502.38046257202
3,52,83470.87431995299
3,53,83464.69793437465
3,54,83466.33085803817
3,55,83470.30597671006
3,56,83474.94891125384
3,57,83479.76236233547
3,58,83484.60638259401
3,59,83489.44558914604
3,60,83494.27321649293
3,61,83423.75228800515
3,62,83368.02342519547
3,63,83319.61986373036
3,64,83274.73776578506
3,65,83231.53598126186
3,66,83212.91600879977
3,67,83182.07219670291
3,68,83169.53086096098
3,69,83141.49499216757
3,70,83130.3348169702
3,71,83066.96588772505
3,72,83015.11171373671
3,73,82968.92331183585
3,74,82949.05266363738
3,75,82942.30840701393
3,76,82941.9916790244
3,77,82838.99189683414
3,78,82817.00096928525
3,79,82837.33012598868
3,80,82833.40763601712
3,81,82655.06402552364
3,82,82530.50308840442
3,83,82463.34693690728
3,84,82437.42785841913
3,85,82405.24955313328
3,86,82369.14560620913
3,87,82330.96695814237
3,88,82315.44087339182
3,89,82286.90886679533
3,90,82252.20143571535
3,91,82188.53909196306
3,92,82137.53192240343
3,93,82092.65301226047
3,94,82050.68347637277
3,95,82033.5419628047
3,96,82028.78163950868
3,97,82030.08226185573
3,98,82009.583053439
3,99,81978.82427144836
3,100,81943.3728213086
3,101,81851.41603558838
3,102,81818.57697312479
3,103,81815.58884257943
3,104,81796.28077629031
3,105,81767.21653715134
3,106,81733.0547786296
3,107,81720.00631374324
3,108,81693.28435129726
3,109,81660.07787778837
3,110,81623.90198025115
3,111,81562.97058056836
3,112,81536.7031093338
3,113,81504.10479991247
3,114,81468.44730040619
3,115,81454.84804588064
3,116,81452.27976625889
3,117,81430.67929918184
3,118,81423.96167380674
3,119,81400.43235232306
3,120,81392.79395364286
3,121,81336.50627142983
3,122,81289.78231684366
3,123,81247.79089666848
3,124,81208.08256832026
3,125,81169.47504685528
3,126,81131.41459692054
3,127,81093.64689222813
3,128,81056.05663109798
3,129,81018.5919751348
3,130,81004.49990452945
3,131,80944.49916635557
3,132,80896.54286911644
3,133,80877.37606704596
3,134,80848.81153641408
3,135,80815.73662899755
3,136,80803.92842471288
3,137,80778.79474103764
3,138,80747.3472561244
3,139,80736.37733772384
3,140,80711.70031141418
3,141,80638.90040209051
3,142,80585.28573056468
3,143,80540.94608952758
3,144,80500.98517580536
3,145,80463.07623468993
3,146,80426.14051122278
3,147,80412.7936235929
3,148,80387.4127991568
3,149,80356.30419080945
3,150,80322.56786970406
3,151,80252.80764358967
3,152,80201.11555123788
3,153,80158.11527739427
3,154,80119.20677438969
3,155,79682.57223323554
4,1,5305.5208219507
4,2,5521.067738808653
4,3,5628.36134709243
4,4,5670.392826452982
4,5,5673.169529351497
4,6,5652.423615911623
4,7,5617.67077777396
4,8,5575.7107929042295
4,9,5529.237205034117
4,10,5480.006971582257
4,11,5425.206901866435
4,12,5370.95483284777
4,13,5317.245284519293
4,14,5264.0728316741
4,15,5211.432103357359
4,16,5159.317782323785
4,17,5107.724604500547
4,18,5056.6473584555415
4,19,5006.080884870986
4,20,4956.020076022276
4,21,4907.979300177908
4,22,4859.891691646182
4,23,4811.940671188664
4,24,4764.2443408644685
4,25,4716.858874053707
4,26,4669.858091031588
4,27,4623.261032580915
4,28,4577.094716421252
4,29,4531.363877227559
4,30,4486.076428960033
4,31,4442.679193554526
4,32,4399.137836593858
4,33,4355.6821463877195
4,34,4312.4494162605215
4,35,4269.520997356607
4,36,4226.944412914549
4,37,4184.752431257478
4,38,4142.955489939168
4,39,4101.558965735031
4,40,4060.564945121682
