region,timePeriod,S
1,1,193359.33602271
1,2,175771.98428583934
1,3,162036.28410566298
1,4,151298.18543116527
1,5,142924.17021740053
1,6,136413.73536308773
1,7,131371.49173789495
1,8,127485.1165407165
1,9,124109.92644252325
1,10,121447.80874259143
1,11,119821.95402842293
1,12,118620.48249398495
1,13,117750.78558342619
1,14,117139.78611560795
1,15,116729.84502331365
1,16,116475.52553864308
1,17,116341.03510496698
1,18,116298.20298707967
1,19,116324.88133427451
1,20,116403.68098572677
1,21,116520.97190513516
1,22,116666.14496202816
1,23,116830.87749005623
1,24,117008.69616347135
1,25,117194.58655707871
1,26,117384.68438935414
1,27,117576.03136761827
1,28,117766.38212973955
1,29,117954.05160319779
1,30,118137.79433658537
1,31,118316.70912489778
1,32,118490.03789161512
1,33,118657.37028793296
1,34,118818.45912079155
1,35,118973.38181886349
1,36,119121.86640639674
1,37,119263.9681529438
1,38,119396.7356967342
1,39,119526.73795275735
1,40,119650.72661246927
1,41,119768.90588123462
1,42,119881.47698148442
1,43,119988.65943312904
1,44,120090.67425293337
1,45,120187.74130357735
1,46,120280.07731029484
1,47,120367.89440017466
1,48,120451.3990497631
1,49,120530.79135075612
1,50,120606.27814444252
1,51,120678.03944513598
1,52,120749.93996833163
1,53,120820.81988818353
1,54,120889.89719994036
1,55,120956.665341708
1,56,121020.81689524624
1,57,121082.1869403817
1,58,121140.02968909696
1,59,121194.65269714847
1,60,121246.31579436745
1,61,121295.24092475517
1,62,121342.44201380786
1,63,121388.00412333627
1,64,121431.9875742312
1,65,121474.43634010045
1,66,121515.38412532405
1,67,121554.85869556358
1,68,121592.88489793483
1,69,121630.53034635732
1,70,121667.35697447526
1,71,121703.07354642588
1,72,121740.77726986667
1,73,121779.18040034534
1,74,121815.5200898257
1,75,121807.84005391708
1,76,121844.90729654863
1,77,121879.67914220529
1,78,121912.44171790977
1,79,121943.42004576582
1,80,121972.7924149308
1,81,121980.86910899007
1,82,121987.50758869523
1,83,121994.7365360144
1,84,121999.84174240634
1,85,122005.27822042441
1,86,122036.38484628347
1,87,122043.41005982946
1,88,122073.3195407222
1,89,122101.31608344354
1,90,122127.48253379083
1,91,122151.92138190624
1,92,122178.24291221944
1,93,122205.30162872489
1,94,122232.31396826849
1,95,122257.26712055448
1,96,122281.77521661986
1,97,122305.52216300124
1,98,122328.31438162214
1,99,122349.41068244311
1,100,122369.59189485092
1,101,122388.80224063157
1,102,122407.97806572093
1,103,122426.7862977146
1,104,122445.01029672286
1,105,122462.51689122032
1,106,122479.2320617144
1,107,122487.29296390609
1,108,122494.24107976585
1,109,122500.05821237521
1,110,122515.55007851426
1,111,122530.1399275452
1,112,122547.44209557753
1,113,122566.20583403915
1,114,122585.55950360274
1,115,122604.90783590934
1,116,122622.69804641868
1,117,122639.19127170762
1,118,122654.58896370562
1,119,122669.78895439317
1,120,122683.99667384138
1,121,122697.84606653132
1,122,122714.59286111302
1,123,122732.94773333908
1,124,122752.00818258432
1,125,122771.15427098073
1,126,122789.97102590097
1,127,122808.19090845334
1,128,122825.65134550954
1,129,122842.26353875814
1,130,122857.98969015488
1,131,122872.82648714444
1,132,122890.18259087585
1,133,122908.87127739143
1,134,122928.06686098734
1,135,122947.20670689257
1,136,122939.36892421414
1,137,122960.0713636156
1,138,122979.69137046549
