fromRegion,toRegion,timePeriod,transferIndicator
1,2,1,1
1,2,8,1
1,2,29,1
1,2,43,1
1,2,50,1
1,2,57,1
1,2,64,1
1,2,71,1
1,2,78,1
1,2,85,1
1,2,99,1
1,2,127,1
1,2,148,1
1,4,1,1
1,4,8,1
1,4,22,1
1,4,43,1
1,4,50,1
1,4,57,1
1,4,64,1
1,4,85,1
1,4,92,1
1,4,99,1
1,4,106,1
1,4,127,1
1,4,141,1
1,10,15,1
1,10,22,1
1,10,29,1
1,10,36,1
1,10,78,1
1,10,85,1
1,10,92,1
1,10,120,1
1,10,141,1
1,12,22,1
1,12,29,1
1,12,43,1
1,12,57,1
1,12,99,1
1,12,127,1
1,12,134,1
1,12,141,1
1,20,15,1
1,20,22,1
1,20,36,1
1,20,43,1
1,20,50,1
1,20,64,1
1,20,71,1
1,20,113,1
1,20,127,1
1,37,8,1
1,37,15,1
1,37,22,1
1,37,29,1
1,37,36,1
1,37,50,1
1,37,64,1
1,37,71,1
1,37,78,1
1,37,85,1
1,37,92,1
1,37,106,1
1,37,113,1
1,37,120,1
1,37,148,1
1,41,15,1
1,41,22,1
1,41,29,1
1,41,50,1
1,41,57,1
1,41,64,1
1,41,78,1
1,41,106,1
1,41,120,1
1,41,127,1
1,41,134,1
1,41,148,1
1,54,8,1
1,54,15,1
1,54,36,1
1,54,57,1
1,54,71,1
1,54,92,1
1,54,99,1
1,54,106,1
1,54,113,1
1,54,120,1
1,54,134,1
1,54,141,1
1,54,148,1
1,63,8,1
1,63,43,1
1,63,57,1
1,63,64,1
1,63,78,1
1,63,106,1
1,63,113,1
1,63,120,1
1,63,134,1
2,1,15,1
2,1,22,1
2,1,36,1
2,1,92,1
2,1,106,1
2,1,120,1
2,1,134,1
2,1,141,1
2,4,8,1
2,4,29,1
2,4,36,1
2,4,43,1
2,4,50,1
2,4,57,1
2,4,64,1
2,4,99,1
2,4,106,1
2,4,120,1
2,4,127,1
2,4,141,1
2,10,1,1
2,10,36,1
2,10,43,1
2,10,71,1
2,10,120,1
2,10,127,1
2,12,22,1
2,12,57,1
2,12,64,1
2,12,71,1
2,12,113,1
2,12,141,1
2,12,148,1
2,15,8,1
2,15,29,1
2,15,43,1
2,15,50,1
2,15,64,1
