region,timePeriod,U
1,1,0.0
1,11,0.0
1,21,0.0
1,31,0.0
1,41,0.0
1,51,0.0
1,61,0.0
1,71,0.0
1,81,0.0
1,91,0.0
1,101,0.0
1,111,0.0
1,121,0.0
1,131,0.0
1,141,0.0
1,151,0.0
2,1,0.0
2,11,0.0
2,21,0.0
2,31,0.0
2,41,0.0
2,51,0.0
2,61,0.0
2,71,0.0
2,81,0.0
2,91,0.0
2,101,0.0
2,111,0.0
2,121,0.0
2,131,0.0
2,141,0.0
2,151,0.0
3,1,0.0
3,11,0.0
3,21,0.0
3,31,0.0
3,41,0.0
3,51,0.0
3,61,0.0
3,71,0.0
3,81,0.0
3,91,0.0
3,101,0.0
3,111,0.0
3,121,0.0
3,131,0.0
3,141,0.0
3,151,0.0
4,1,0.0
4,11,0.0
4,21,0.0
4,31,0.0
4,41,0.0
4,51,0.0
4,61,0.0
4,71,0.0
4,81,0.0
4,91,0.0
4,101,0.0
4,111,0.0
4,121,0.0
4,131,0.0
4,141,0.0
4,151,0.0
5,1,0.0
5,11,0.0
5,21,0.0
5,31,0.0
5,41,0.0
5,51,0.0
5,61,0.0
5,71,0.0
5,81,0.0
5,91,0.0
5,101,0.0
5,111,0.0
5,121,0.0
5,131,0.0
5,141,0.0
5,151,0.0
6,1,0.0
6,11,0.0
6,21,0.0
6,31,0.0
6,41,0.0
6,51,0.0
6,61,0.0
6,71,0.0
6,81,0.0
6,91,0.0
6,101,0.0
6,111,0.0
6,121,0.0
6,131,0.0
6,141,0.0
6,151,0.0
7,1,0.0
7,11,0.0
7,21,0.0
7,31,0.0
7,41,0.0
7,51,0.0
7,61,0.0
7,71,0.0
7,81,0.0
7,91,0.0
7,101,0.0
7,111,0.0
7,121,0.0
7,131,0.0
7,141,0.0
7,151,0.0
8,1,0.0
8,11,0.0
8,21,0.0
8,31,0.0
8,41,0.0
8,51,0.0
8,61,0.0
8,71,0.0
8,81,0.0
8,91,0.0
8,101,0.0
8,111,0.0
8,121,0.0
8,131,0.0
8,141,0.0
8,151,0.0
9,1,0.0
9,11,0.0
9,21,0.0
9,31,0.0
9,41,0.0
9,51,0.0
9,61,0.0
9,71,0.0
9,81,0.0
9,91,0.0
9,101,0.0
9,111,0.0
9,121,0.0
9,131,0.0
9,141,0.0
9,151,0.0
10,1,0.0
10,11,0.0
10,21,0.0
10,31,0.0
10,41,0.0
10,51,0.0
10,61,0.0
10,71,0.0
10,81,0.0
10,91,0.0
10,101,0.0
10,111,0.0
10,121,0.0
10,131,0.0
10,141,0.0
10,151,0.0
11,1,0.0
11,11,0.0
11,21,0.0
11,31,0.0
11,41,0.0
11,51,0.0
11,61,0.0
11,71,0.0
11,81,0.0
11,91,0.0
11,101,0.0
11,111,0.0
11,121,0.0
11,131,0.0
11,141,0.0
11,151,0.0
12,1,0.0
12,11,0.0
12,21,0.0
12,31,0.0
12,41,0.0
12,51,0.0
12,61,0.0
12,71,0.0
12,81,0.0
12,91,0.0
12,101,0.0
12,111,0.0
12,121,0.0
12,131,0.0
12,141,0.0
12,151,0.0
13,1,0.0
13,11,0.0
13,21,0.0
13,31,0.0
13,41,0.0
13,51,0.0
13,61,0.0
13,71,0.0
13,81,0.0
13,91,0.0
13,101,0.0
13,111,0.0
13,121,0.0
13,131,0.0
13,141,0.0
13,151,0.0
14,1,0.0
14,11,0.0
14,21,0.0
14,31,0.0
14,41,0.0
14,51,0.0
14,61,0.0
