region,timePeriod,V
1,1,0.0
1,2,19335.933602271
1,3,36753.90954802064
1,4,52448.35969978504
1,5,66593.84687091579
1,6,79347.12100629025
1,7,90848.95730529197
1,8,101210.90541186175
1,9,110576.3563464103
1,10,119032.44379378487
1,11,126651.98056777274
1,12,133457.0485883711
1,13,139580.7597551579
1,14,145064.85070743252
1,15,149972.27665784606
1,16,154359.5932186926
1,17,158277.6013875509
1,18,161771.9273477739
1,19,164883.54366622682
1,20,167649.23780581236
1,21,170102.0332726076
1,22,172279.87579241896
1,23,174208.70444401327
1,24,175911.79156626793
1,25,177410.01054648586
1,26,178722.07651495296
1,27,179864.76268073678
1,28,180853.0947674441
1,29,181700.52575927845
1,30,182419.09294444456
1,31,183019.55904220685
1,32,183523.34866280927
1,33,183938.11338972853
1,34,184270.6764598408
1,35,184527.1146052086
1,36,184712.83157338534
1,37,184832.6241649779
1,38,184909.35065295108
1,39,184958.0882026406
1,40,184988.74996443646
1,41,184975.77306318076
1,42,184987.53472367354
1,43,184994.5737165645
1,44,184968.78037494875
1,45,184970.97237696825
1,46,184972.00306044283
1,47,184972.34009711974
1,48,184972.27784233473
1,49,184971.9987642823
1,50,184971.61367210728
1,51,184947.48231305118
1,52,184922.70417335938
1,53,184922.28691291995
1,54,184896.78972581134
1,55,184896.31291981807
1,56,184870.35038653927
1,57,184869.83959091204
1,58,184869.31065731595
1,59,184868.77535034998
1,60,184868.2403654924
1,61,184867.70927004598
1,62,184843.0013936386
1,63,184842.47543960236
1,64,184841.9089239391
1,65,184841.30388585964
1,66,184840.664504791
1,67,184839.9957501243
1,68,184814.05037274276
1,69,184787.7614801595
1,70,184787.08128971653
1,71,184762.1121089244
1,72,184761.44610372273
1,73,184735.80586781728
1,74,184735.11904426312
1,75,184734.4060829341
1,76,184733.67542530748
1,77,184732.93297863577
1,78,184732.18289221232
1,79,184731.42809174545
1,80,184705.24703154582
1,81,184704.51384028333
1,82,184703.77795962803
1,83,184703.02087479216
1,84,184702.23487932808
1,85,184676.43499672785
1,86,184675.61486405553
1,87,184674.76687950405
1,88,184648.50610161683
1,89,184647.65459128213
1,90,184646.79400806729
1,91,184645.93364717165
1,92,184645.07850952813
1,93,184644.20733185756
1,94,184643.3106237174
1,95,184642.38569940926
1,96,184641.43359424322
1,97,184640.4571884589
1,98,184639.46009753534
1,99,184638.44604274072
1,100,184637.41851762898
1,101,184636.38063279958
1,102,184635.33506458203
1,103,184634.26238898936
1,104,184608.42938317813
1,105,184607.31098095703
1,106,184606.1569304454
1,107,184604.97745615058
1,108,184603.78009854752
1,109,184602.5704387287
1,110,184601.35262131976
1,111,184600.12973352842
1,112,184598.9040811306
1,113,184597.65724263748
1,114,184596.38168812986
1,115,184595.0760880866
1,116,184593.7424185563
1,117,184592.38421418605
1,118,184565.88662971393
1,119,184564.51665907583
1,120,184563.13144648238
1,121,184561.7403962928
1,122,184560.3491733092
1,123,184558.93662953508
1,124,184557.4938843488
1,125,184556.0190709673
1,126,184554.514089289
1,127,184552.98264185264
1,128,184551.42908185936
1,129,184549.85776825197
1,130,184523.11569911806
1,131,184545.8050102836
1,132,184567.9686062282
1,133,184588.28081390343
1,134,184605.5214464933
1,135,184618.56412534454
1,136,184626.36575107218
1,137,184630.6935870424
1,138,184632.72484287695
1,139,184633.24256810633
1,140,184632.7667620125
1,141,184642.8937947241
1,142,184650.70257558257
1,143,184654.98776142535
1,144,184656.92022889396
1,145,184657.28411571833
1,146,184656.60426437983
1,147,184655.23173560458
1,148,184653.4011717673
1,149,184651.26926507853
1,150,184692.92822559987
1,151,184773.95699981236
1,152,184890.28915066348
1,153,185038.10173239288
1,154,185213.92320050646
1,155,185404.55892262276
2,1,0.0
2,2,1503.42241924124
2,3,2863.87798363135
2,4,4095.941486623679
2,5,5212.655870598285
2,6,6225.702796071284
2,7,7145.551843524042
2,8,7981.591586493434
2,9,8742.245165441518
2,10,9435.072517928787
2,11,10066.861048890103
2,12,10643.70623083014
2,13,11171.106695243783
2,14,11651.545641343544
2,15,12089.58420291118
2,16,12489.31906975891
2,17,12854.429171570026
2,18,13188.217636574911
2,19,13493.649501824828
2,20,13773.385603650246
2,21,14029.813033579754
2,22,14260.963791247435
2,23,14469.013492819387
2,24,14655.904348676971
2,25,14823.368054320612
2,26,14972.946337594118
2,27,15106.009397447271
2,28,15223.772445627272
2,29,15327.310541265666
2,30,15417.571889063931
2,31,15495.389754459202
2,32,15559.203521793961
2,33,15609.790507682059
2,34,15647.823059248272
2,35,15673.877877570256
2,36,15692.898294073802
2,37,15707.81552555375
2,38,15720.35873077787
2,39,15731.541405002465
2,40,15735.733093821536
2,41,15739.241348065982
2,42,15742.886157531182
2,43,15746.704613465083
2,44,15750.693506629248
2,45,15754.832092153763
2,46,15764.382633607485
2,47,15773.926625746104
2,48,15778.490266176164
2,49,15788.027851501743
2,50,15792.692833018333
2,51,15802.211952937656
2,52,15806.071705092667
2,53,15810.124904627462
2,54,15819.647005178853
2,55,15824.04230996704
2,56,15828.503184952364
2,57,15838.039852926087
2,58,15847.569695378785
2,59,15852.250640933496
2,60,15856.908983728097
2,61,15866.409780323558
2,62,15875.892068822031
2,63,15885.376468558128
2,64,15894.868385627038
2,65,15904.36601871743
2,66,15913.864644433961
2,67,15923.358806617072
2,68,15932.843349958037
2,69,15942.31383575221
2,70,15951.76664260992
2,71,15961.198918954484
2,72,15970.608476386868
2,73,15980.015810127097
2,74,15989.426789345265
2,75,15993.815495443558
2,76,16003.232477991713
2,77,16012.642575176531
2,78,16022.042660949479
2,79,16026.658702918623
2,80,16031.229240092393
2,81,16040.588678053755
2,82,16049.92684704918
2,83,16059.266347536872
2,84,16068.613582702203
2,85,16077.96720902491
2,86,16087.322675169631
2,87,16096.674553450477
2,88,16101.213749065691
2,89,16105.717646668201
2,90,16115.039644724675
2,91,16124.342240409625
2,92,16133.625170661138
2,93,16137.470838230627
2,94,16146.768618395565
2,95,16156.071943119483
2,96,16165.377868839694
2,97,16174.681595828799
2,98,16183.978063313156
2,99,16193.262672084165
2,100,16202.531547095603
2,101,16219.623909151513
2,102,16233.993477131176
2,103,16246.237693583273
2,104,16257.220421531356
