"week","MMWR_week","Distributed","Distributed_Janssen","Distributed_Moderna","Distributed_Pfizer","Distributed_Novavax","Distributed_Unk_Manuf","Dist_Per_100K","Distributed_Per_100k_5Plus","Distributed_Per_100k_12Plus","Distributed_Per_100k_18Plus","Distributed_Per_100k_65Plus","Administered","Administered_5Plus","Administered_12Plus","Administered_18Plus","Administered_65Plus","Administered_Janssen","Administered_Moderna","Administered_Pfizer","Administered_Novavax","Administered_Unk_Manuf","Admin_Per_100K","Admin_Per_100k_5Plus","Admin_Per_100k_12Plus","Admin_Per_100k_18Plus","Admin_Per_100k_65Plus","Recip_Administered","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Administered_Dose1_Recip_5Plus","Administered_Dose1_Recip_5PlusPop_Pct","Administered_Dose1_Recip_12Plus","Administered_Dose1_Recip_12PlusPop_Pct","Administered_Dose1_Recip_18Plus","Administered_Dose1_Recip_18PlusPop_Pct","Administered_Dose1_Recip_65Plus","Administered_Dose1_Recip_65PlusPop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Series_Complete_5Plus","Series_Complete_5PlusPop_Pct","Series_Complete_12Plus","Series_Complete_12PlusPop_Pct","Series_Complete_18Plus","Series_Complete_18PlusPop_Pct","Series_Complete_65Plus","Series_Complete_65PlusPop_Pct","Series_Complete_Janssen","Series_Complete_Moderna","Series_Complete_Pfizer","Series_Complete_Novavax","Series_Complete_Unk_Manuf","Series_Complete_Janssen_5Plus","Series_Complete_Moderna_5Plus","Series_Complete_Pfizer_5Plus","Series_Complete_Unk_Manuf_5Plus","Series_Complete_Janssen_12Plus","Series_Complete_Moderna_12Plus","Series_Complete_Pfizer_12Plus","Series_Complete_Unk_Manuf_12Plus","Series_Complete_Janssen_18Plus","Series_Complete_Moderna_18Plus","Series_Complete_Pfizer_18Plus","Series_Complete_Unk_Manuf_18Plus","Series_Complete_Janssen_65Plus","Series_Complete_Moderna_65Plus","Series_Complete_Pfizer_65Plus","Series_Complete_Unk_Manuf_65Plus","Additional_Doses","Additional_Doses_Vax_Pct","Additional_Doses_5Plus","Additional_Doses_5Plus_Vax_Pct","Additional_Doses_12Plus","Additional_Doses_12Plus_Vax_Pct","Additional_Doses_18Plus","Additional_Doses_18Plus_Vax_Pct","Additional_Doses_50Plus","Additional_Doses_50Plus_Vax_Pct","Additional_Doses_65Plus","Additional_Doses_65Plus_Vax_Pct","Additional_Doses_Moderna","Additional_Doses_Pfizer","Additional_Doses_Janssen","Additional_Doses_Unk_Manuf","Second_Booster","Second_Booster_50Plus","Second_Booster_50Plus_Vax_Pct","Second_Booster_65Plus","Second_Booster_65Plus_Vax_Pct","Second_Booster_Janssen","Second_Booster_Moderna","Second_Booster_Pfizer","Second_Booster_Unk_Manuf","Administered_Bivalent","Admin_Bivalent_PFR","Admin_Bivalent_MOD","Dist_Bivalent_PFR","Dist_Bivalent_MOD","Bivalent_Booster_5Plus","Bivalent_Booster_5Plus_Pop_Pct","Bivalent_Booster_12Plus","Bivalent_Booster_12Plus_Pop_Pct","Bivalent_Booster_18Plus","Bivalent_Booster_18Plus_Pop_Pct","Bivalent_Booster_65Plus","Bivalent_Booster_65Plus_Pop_Pct"
2022-10-03,40,55330285,2446900,20215920,32632965,34500,0,257617,272054,295947,320796,1230290,39909379,39849279,38990085,36987270,13422210,1498582,14774099,23472675,2154,161869,185817,195935,208547,214446,298448,39675910,17453012,81.3,17415788,85.6,16963125,90.7,15970051,92.6,4870451,95,14714181,68.5,14701849,72.3,14341641,76.7,13515301,78.4,4179569,92.9,1379634,4966420,8318739,693,46350,1378812,4957695,8318529,46120,1378754,4956930,7960377,44889,1377749,4954870,7138559,43447,216096,2001560,1939003,22773,6285276,42.7,6285131,42.8,6252999,43.6,6088924,45.1,4423944,56.9,2705128,64.7,2637138,3527314,109930,10803,0,1476971,33.4,1062922,39.3,2164,765052,827657,4149,502019,324257,177762,1619400,525500,0,0,0,0,0,0,0,0
2022-10-10,41,55789185,2450000,20455820,32846065,37300,0,259754,274310,298401,323457,1240490,40077981,40015206,39154179,37148576,13518343,1498958,14844478,23569623,2294,162628,186602,196751,209425,215381,300586,39853188,17470934,81.3,17432455,85.7,16979065,90.8,15985376,92.7,4876010,95,14728777,68.6,14715274,72.4,14354424,76.8,13527554,78.4,4184909,93.1,1379947,4971095,8327409,759,46556,1379125,4961861,8327206,46323,1379067,4961056,7968490,45054,1378061,4958974,7146200,43583,216123,2003792,1942033,22810,6302642,42.8,6302487,42.8,6269985,43.7,6105238,45.1,4436179,57,2713169,64.8,2643286,3538409,109952,10901,0,1521835,34.3,1093198,40.3,2175,789443,862371,4215,652184,408938,243246,1756200,728100,0,0,677288,3.6,668945,3.9,413822,9.2
2022-10-17,42,56350685,2452400,20634220,33225765,38300,0,262368,277071,301405,326712,1252980,40221534,40156840,39294543,37287071,13606393,1499320,14910444,23646028,2395,163347,187271,197447,210176,216184,302543,40007563,17485591,81.4,17446409,85.8,16992518,90.9,15998399,92.8,4881223,95,14741036,68.6,14726692,72.4,14365368,76.8,13538141,78.5,4189898,93.2,1380253,4975434,8334324,794,46772,1379431,4965813,8334120,46534,1379372,4964992,7974996,45216,1378366,4962894,7152389,43723,216152,2005992,1944749,22845,6317745,42.9,6317581,42.9,6284809,43.7,6119537,45.2,4447213,57.1,2720690,64.9,2649468,3547194,109980,11005,0,1564788,35.2,1123515,41.3,2188,814166,891248,4258,782389,477127,305262,2098800,890600,817514,4,817459,4.4,807860,4.7,505214,11.2
2022-10-24,43,56680185,2453400,20754920,33432265,39600,0,263902,278691,303167,328623,1260310,40475812,40408738,39542469,37529982,13745613,1499799,15013957,23795117,2538,164401,188455,198686,211502,217593,305639,40271479,17509215,81.5,17469117,85.9,17014218,91,16019229,92.9,4888301,95,14761529,68.7,14746091,72.5,14383925,76.9,13555988,78.6,4196781,93.3,1380657,4983115,8345854,833,47051,1379834,4972974,8345642,46808,1379775,4972106,7985777,45436,1378767,4969965,7162545,43906,216172,2008856,1948696,22887,6346666,43,6346490,43,6312395,43.9,6145735,45.3,4466788,57.2,2732990,65.1,2660335,3565047,110019,11156,0,1639400,36.7,1172875,42.9,2206,853184,950025,4348,1011194,612338,398856,2257300,997900,1053865,5.2,1051696,5.6,1038333,6,643635,14.3
2022-10-31,44,57161495,2464700,20973480,33680915,42400,0,266143,281058,305741,331413,1271010,40685933,40617175,39747612,37731478,13865778,1500179,15103107,23914731,2687,165229,189433,199711,212599,218761,308311,40491043,17528535,81.6,17487678,86,17031961,91.1,16036341,93,4894129,95,14777366,68.8,14761334,72.6,14398541,77,13570127,78.7,4202839,93.5,1380986,4988325,8355534,869,47287,1380163,4977939,8355320,47043,1380104,4977037,7994914,45619,1379096,4974858,7171289,44046,216205,2011463,1952068,22928,6370733,43.1,6370549,43.2,6335184,44,6167393,45.4,4483579,57.4,2743947,65.3,2669143,3580101,110064,11285,0,1707599,38.1,1218852,44.4,2223,890321,1000815,4422,1204500,721523,482977,2426600,1158800,1253953,6.2,1249947,6.7,1233858,7.2,763696,17
2022-11-07,45,57358385,2455500,21037620,33822465,42800,0,267060,282026,306794,332555,1275390,40849838,40779151,39906168,37886707,13953804,1500587,15172363,24007990,2802,166096,190196,200507,213447,219661,310268,40663581,17547128,81.7,17505432,86.1,17048789,91.2,16052518,93.1,4899285,95,14790986,68.9,14774230,72.6,14410809,77.1,13581883,78.7,4207289,93.6,1381325,4992596,8363773,910,47568,1380502,4981943,8363556,47319,1380443,4981006,8002620,45832,1379434,4978788,7178567,44215,216244,2013339,1954567,22959,6390810,43.2,6390617,43.3,6353894,44.1,6185070,45.5,4496763,57.5,2752408,65.4,2676241,3592890,110100,11423,0,1758931,39.1,1253021,45.5,2238,919380,1039198,4512,1351511,804363,547148,2573800,1257700,1408456,6.9,1402427,7.5,1383795,8,850845,18.9
2022-11-14,46,57618985,2456500,21146820,33971765,43900,0,268273,283307,308188,334066,1281180,40975912,40903775,40027546,38004728,14014490,1500958,15222688,24082508,2902,166856,190783,201120,214097,220345,311618,40797113,17562116,81.8,17519782,86.1,17062336,91.3,16065472,93.1,4902877,95,14803839,68.9,14786541,72.7,14422507,77.1,13593151,78.8,4210550,93.6,1381637,4996547,8371860,948,47764,1380814,4985629,8371641,47509,1380755,4984653,8010171,45983,1379744,4982403,7185737,44353,216262,2014736,1956377,22994,6408409,43.3,6408212,43.3,6370110,44.2,6200243,45.6,4506841,57.6,2758573,65.5,2682230,3604359,110128,11524,0,1795553,39.8,1276648,46.3,2250,940223,1069084,4606,1459489,867180,592309,2701000,1357400,1522904,7.5,1514864,8.1,1493584,8.7,910642,20.2
2022-11-21,47,58007385,2457400,21262220,34242965,44800,0,270081,285217,310266,336317,1289820,41100895,41026932,40147621,38121787,14078872,1501472,15272950,24155602,3007,167864,191365,201726,214739,221024,313049,40926965,17577464,81.8,17534318,86.2,17076101,91.3,16078620,93.2,4906839,95,14815370,69,14797383,72.8,14432705,77.2,13602881,78.9,4214089,93.7,1382080,5000149,8378727,987,48031,1381256,4988871,8378505,47764,1381197,4987843,8016496,46185,1380185,4985553,7191676,44515,216300,2016162,1958401,23034,6424908,43.4,6424701,43.4,6385373,44.2,6214586,45.7,4517196,57.7,2765159,65.6,2687977,3614898,110175,11681,0,1833032,40.6,1301915,47.1,2262,961021,1097934,4714,1566678,929832,636846,2885000,1453800,1634027,8,1624292,8.7,1600935,9.3,971745,21.6
2022-11-28,48,58124935,2457800,21313720,34308215,45200,0,270629,285795,310895,336999,1292430,41185511,41110567,40228701,38200073,14118103,1501839,15305617,24206451,3087,168517,191759,202137,215172,221478,313921,41015322,17588427,81.9,17544841,86.3,17086035,91.4,16088105,93.3,4909482,95,14823571,69,14805246,72.8,14440100,77.2,13609935,78.9,4216400,93.8,1382372,5002646,8383776,1019,48200,1381548,4991201,8383554,47924,1381489,4990139,8021139,46317,1380477,4987807,7196038,44629,216331,2017110,1959677,23081,6436635,43.4,6436420,43.5,6396002,44.3,6224374,45.7,4524077,57.7,2769289,65.7,2692044,3622432,110204,11772,0,1857089,41,1317097,47.6,2274,974895,1118126,4785,1641196,974518,666678,2927650,1497300,1711947,8.4,1700594,9.1,1674939,9.7,1010085,22.5
2022-12-05,49,58367165,2459000,21391020,34470545,46600,0,271757,286986,312190,338403,1297820,41294081,41217481,40333040,38301782,14172518,1502234,15349423,24269528,3172,169724,192265,202662,215731,222068,315131,41128888,17603034,82,17558781,86.3,17099329,91.5,16100761,93.3,4913107,95,14833950,69.1,14814959,72.8,14449238,77.3,13618652,79,4219420,93.8,1382700,5005779,8390054,1045,48511,1381876,4993990,8389828,48220,1381817,4992875,8026953,46551,1380803,4990515,7201506,44818,216358,2018299,1961425,23131,6451166,43.5,6450944,43.5,6409553,44.4,6237137,45.8,4533322,57.8,2775078,65.8,2697224,3631567,110238,11946,0,1889598,41.7,1338433,48.2,2288,993015,1142506,4921,1734642,1028309,706333,3046780,1556900,1809130,8.9,1796422,9.6,1769014,10.3,1062467,23.6
