region,timePeriod,hospitalized
1,0,167.69025
1,1,25.153537500000006
1,2,3.7730306250000014
1,3,0.5659545937500003
1,4,0.08489318906250005
1,5,0.01273397835937501
1,6,0.001910096753906252
1,7,0.0002865145130859378
1,8,4.2977176962890676e-05
1,9,6.446576544433603e-06
1,10,9.669864816650405e-07
1,11,1.4504797224975608e-07
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
2,0,4.1024025
2,1,0.6153603750000001
2,2,0.09230405625000003
2,3,0.013845608437500009
2,4,0.002076841265625002
2,5,0.0003115261898437503
2,6,4.672892847656256e-05
2,7,7.009339271484386e-06
2,8,1.051400890722658e-06
2,9,1.5771013360839873e-07
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
3,0,13.6702864
3,1,2.0505429599999996
3,2,0.30758144399999987
3,3,0.04613721659999997
3,4,0.0069205824899999935
3,5,0.0010380873734999988
3,6,0.0001557131060249998
3,7,2.3356965903749966e-05
3,8,3.503544885562494e-06
3,9,5.255317328343739e-07
3,10,7.882975992515608e-08
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
4,0,0.003422500000000001
4,1,0.0015401250000002253
4,2,0.00023101875000003386
4,3,3.465281250000509e-05
4,4,5.197921875000764e-06
4,5,7.796882812501146e-07
4,6,1.1695324218751722e-07
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
5,0,118.06096000000004
5,1,17.70914400000001
5,2,2.6563716000000026
5,3,0.3984557400000005
5,4,0.059768361000000096
5,5,0.008965254150000018
5,6,0.001344788122500003
5,7,0.00020171821837500052
5,8,3.0257732756250085e-05
5,9,4.5386599134375146e-06
5,10,6.807989870156274e-07
5,11,1.0211984805234413e-07
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
6,0,1274.9345569000002
6,1,191.24018353500006
6,2,28.68602753025001
6,3,4.3029041295375015
6,4,0.6454356194306251
6,5,0.09681534291459376
6,6,0.014522301437189064
6,7,0.0021783452155783594
6,8,0.00032675178233675394
6,9,4.9012767350513085e-05
6,10,7.351915102576962e-06
6,11,1.1027872653865442e-06
6,12,1.6541808980798162e-07
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,0.0
6,26,0.0
7,0,0.0019880999999999996
7,1,0.000298215
7,2,4.473225e-05
7,3,6.709837500000002e-06
7,4,1.0064756250000004e-06
7,5,1.5097134375000006e-07
7,6,2.2645701562500016e-08
7,7,0.0
7,8,0.0
7,9,0.0
