region,timePeriod,R
1,1,34971.6373080067
1,2,35340.06016239604
1,3,35476.864883582195
1,4,35446.00866120861
1,5,35282.34275763041
1,6,35014.34501637796
1,7,34665.04146358751
1,8,34253.00995001022
1,9,33793.20350890399
1,10,33297.63187296014
1,11,32775.91801001724
1,12,32235.752530743765
1,13,31683.266444168527
1,14,31123.332151316543
1,15,30559.809412651997
1,16,29995.74372223883
1,17,29433.527039699016
1,18,28875.027206221373
1,19,28321.692852826985
1,20,27774.637274508103
1,21,27234.706329565273
1,22,26702.5325937527
1,23,26178.579097390582
1,24,25663.174133524502
1,25,25156.539313247686
1,26,24658.811848550104
1,27,24170.062479955122
1,28,23690.309687078137
1,29,23219.531103051468
1,30,22757.67254310227
1,31,22304.655245488764
1,32,21860.381584910258
1,33,21424.739647705068
1,34,20997.60683082075
1,35,20578.85271916368
1,36,20168.341339674735
1,37,19765.932960108374
1,38,19371.485489889637
1,39,18984.8555954132
1,40,18605.899560973758
1,41,18234.473972012984
1,42,17870.43623527492
1,43,17513.64498964785
1,44,17163.96041187075
1,45,16821.24445613657
1,46,16485.361025325754
1,47,16156.17610336137
1,48,15833.557842510316
1,49,15517.376628895823
1,50,15207.505117749497
1,51,14903.818257551211
1,52,14606.1932933093
1,53,14314.509765354918
1,54,14028.649493268842
1,55,13748.496559395751
1,56,13473.937281330263
1,57,13204.860186457769
1,58,12941.155978543518
1,59,12682.717504724535
1,60,12429.439722093375
1,61,12181.219661203784
1,62,11937.956389746423
1,63,11699.550975880791
1,64,11465.906451461391
1,65,11236.92777533488
1,66,11012.521796845183
1,67,10792.597219651985
1,68,10577.064565943056
1,69,10365.83614110118
1,70,10158.825998870983
1,71,9955.949907058613
1,72,9757.125313787676
1,73,9562.271314327243
1,74,9371.308618501796
1,75,9184.159518688302
1,76,9000.747858402061
1,77,8820.999001470078
1,78,8644.83980178859
1,79,8472.198573659625
1,80,8303.0050627003
1,81,8137.190417317497
1,82,7974.687160739915
1,83,7815.429163598924
1,84,7659.35161704931
1,85,7506.391006420734
1,86,7356.485085390584
1,87,7209.572850668807
1,88,7065.594517185309
1,89,6924.491493770483
1,90,6786.206359319559
1,91,6650.682839431457
1,92,6517.865783513028
1,93,6387.701142339583
1,94,6260.135946062845
1,95,6135.118282657485
1,96,6012.597276797665
1,97,5892.523069155037
1,98,5774.846796109908
1,99,5659.52056986734
1,100,5546.497458970178
1,101,5435.731469201083
1,102,5327.177524865869
1,103,5220.7914504505125
1,104,5116.529952644426
1,105,5014.350602722672
1,106,4914.21181927997
1,107,4816.07285130948
1,108,4719.893761619483
1,109,4625.6354105812115
1,110,4533.259440201238
1,111,4442.728258511918
1,112,4354.00502427356
1,113,4267.0536319820885
1,114,4181.838697176109
1,115,4098.325542037384
1,116,4016.48018127888
1,117,3936.269308314619
1,118,3857.6602817057383
1,119,3780.621111877213
1,120,3705.120448099857
1,121,3631.127565732295
1,122,3558.6123537177177
1,123,3487.545302330332
1,124,3417.8974911665196
1,125,3349.6405773758133
1,126,3282.7467841269126
1,127,3217.1888893040295
1,128,3152.94021442898
1,129,3089.9746138045016
1,130,3028.2664638743854
1,131,2967.79065279609
1,132,2908.5225702215957
1,133,2850.4380972823387
1,134,2793.5135967741517
1,135,2737.725903538212
1,136,2683.0523150340923
1,137,2629.4705821010657
1,138,2576.9588999039147
1,139,2525.4958990595565
1,140,2475.060636940871
1,141,2425.6325891542
1,142,2377.191641187038
1,143,2329.718080222526
1,144,2283.1925871174167
1,145,2237.596228540235
1,146,2192.9104492664496
1,147,2149.117064627512
1,148,2106.1982531106887
1,149,2064.1365491066827
1,150,2022.9148358020839
1,151,1982.5163382137619
1,152,1942.9246163623664
1,153,1904.123558582153
1,154,1866.0973749644186
1,155,1828.83059093187
2,1,8878.80949223539
2,2,8925.16251069761
2,3,8912.142945422476
2,4,8857.703243701788
2,5,8773.175484106247
2,6,8667.036329430592
2,7,8545.601971046795
2,8,8413.57526990221
2,9,8274.454051447725
