region,timePeriod,S
1,1,193359.33602271
1,2,145718.93476319264
1,3,110479.40061569917
1,4,83928.55111295343
1,5,63927.93737594342
1,6,48858.69522621251
1,7,37502.082322758746
1,8,28940.431569378627
1,9,22482.933391860694
1,10,17609.502623113938
1,11,13928.572553183905
1,12,11145.424878720418
1,13,9038.170370001826
1,14,7439.812801978074
1,15,6224.646473478958
1,16,5298.060755334882
1,17,4588.838260009909
1,18,4043.3927726572642
1,19,3621.386283898842
1,20,3292.4700269885393
1,21,3033.798766871235
1,22,2828.1857347517425
1,23,2662.6930245259687
1,24,2527.5873633476963
1,25,2415.540777612523
1,26,2321.039850517364
1,27,2239.932441992626
1,28,2169.093671566453
1,29,2106.1688476166555
1,30,2049.3847416775634
1,31,1997.403754400219
1,32,1949.2173876658414
1,33,1904.0634671640278
1,34,1861.3660986901637
1,35,1820.6886322483176
1,36,1781.6998933439074
1,37,1744.1474047343022
1,38,1707.83846090354
1,39,1672.624831505777
1,40,1638.3922148237173
1,41,1605.0514496231663
1,42,1572.5326939525357
1,43,1540.780327521009
1,44,1509.7497917766216
1,45,1479.4045864252548
1,46,1449.7146053975255
1,47,1420.6543232561637
1,48,1392.2019695058168
1,49,1364.3383927377445
1,50,1337.046702580817
1,51,1310.3115215179512
1,52,1284.1188857049422
1,53,1258.455720154533
1,54,1233.309881004173
1,55,1208.669760963081
1,56,1184.5244071125035
1,57,1160.863227375035
1,58,1137.6760235140723
1,59,1114.9529812823257
1,60,1092.684547674261
1,61,1070.8614330345888
1,62,1049.4745870908325
1,63,1028.515180504731
1,64,1007.9745902399744
1,65,987.8443878070324
1,66,968.1163296765935
1,67,948.7823493307201
1,68,929.8345505539075
1,69,911.2652016659904
1,70,893.0667304735841
1,71,875.2317197727521
1,72,857.7529032775188
1,73,840.6231618802567
1,74,823.8355201734676
1,75,807.38314318007
1,76,791.2593332524528
1,77,775.4575271103946
1,78,759.9712929952985
1,79,744.7943279236907
1,80,729.9204550270343
1,81,715.3436209679803
1,82,701.0578934254657
1,83,687.0574586427863
1,84,673.3366190340429
1,85,659.8897908453256
1,86,646.7115018677059
1,87,633.7963891996515
1,88,621.1391970568734
1,89,608.7347746279228
1,90,596.5780739740783
1,91,584.6641479722424
1,92,572.9881482996932
1,93,561.5453234596423
1,94,550.3310168466265
1,95,539.3406648508249
1,96,528.569795000439
1,97,518.0140241413178
1,98,507.66905665303983
1,99,497.5306827006918
1,100,487.5947765216111
1,101,477.85729474637617
1,102,468.31427475335016
1,103,458.96183305610043
1,104,449.7961637230312
1,105,440.81353682858276
1,106,432.0102969353639
1,107,423.3828616065991
1,108,414.9277199482825
1,109,406.6414311804466
1,110,398.52062323696146
1,111,390.561991393297
1,112,382.762296921688
1,113,375.1183657731557
1,114,367.6270872858485
1,115,360.28541291917804
1,116,353.09035501323314
1,117,346.03898557296935
1,118,339.1284350766778
1,119,332.355891308249
1,120,325.71859821275643
1,121,319.21385477489486
1,122,312.83901391981567
1,123,306.59148143591335
1,124,300.46871491912424
1,125,294.46822273830753
1,126,288.58756302128836
1,127,282.8243426611499
1,128,277.1762163423698
1,129,271.64088558640555
1,130,266.21609781633964
