fromRegion,toFacility,timePeriod,quantity
1,2,1,343.0197860899462
1,2,8,1000000.0
1,2,29,1000000.0
1,2,43,1000000.0
1,2,50,1000000.0
1,2,57,1000000.0
1,2,64,1000000.0
1,2,71,1000000.0
1,2,78,1000000.0
1,2,85,1000000.0
1,2,99,1000000.0
1,2,127,1000000.0
1,2,148,1000000.0
1,4,1,1000000.0
1,4,8,1000000.0
1,4,22,1000000.0
1,4,36,0.11960787209957524
1,4,43,1000000.0
1,4,50,1000000.0
1,4,57,999992.1991692162
1,4,64,999965.4355317209
1,4,85,1000000.0
1,4,92,1000000.0
1,4,99,1000000.0
1,4,106,1000000.0
1,4,127,999999.9998268447
1,4,141,999990.824153192
1,10,15,1000000.0
1,10,22,1000000.0
1,10,29,1000000.0
1,10,36,1000000.0
1,10,50,0.0549660072878332
1,10,78,1000000.0
1,10,85,1000000.0
1,10,92,1000000.0
1,10,120,1000000.0
1,10,127,8.06065712041166
1,10,141,1000000.0
1,12,22,1000000.0
1,12,29,999981.9384960093
1,12,43,1000000.0
1,12,57,1000000.0
1,12,92,4.130053123924881
1,12,99,1000000.0
1,12,127,1000000.0
1,12,134,1000000.0
1,12,141,1000000.0
1,20,15,1000000.0
1,20,22,999980.0162329851
1,20,36,1000000.0
1,20,43,1000000.0
1,20,50,1000000.0
1,20,64,1000000.0
1,20,71,1000000.0
1,20,78,0.028414543879146274
1,20,113,1000000.0
1,20,127,1000000.0
1,37,8,1000000.0
1,37,15,10.934467874364664
1,37,22,1000000.0
1,37,29,1000000.0
1,37,36,1000000.0
1,37,50,999999.9993669648
1,37,64,1000000.0
1,37,71,1000000.0
1,37,78,999999.9996458143
1,37,85,1000000.0
1,37,92,999995.8905183022
1,37,106,1000000.0
1,37,113,1000000.0
1,37,120,1000000.0
1,37,141,9.687501126455336
1,37,148,1000000.0
1,41,15,1000000.0
1,41,22,21.279247204423882
1,41,29,1000000.0
1,41,50,1000000.0
1,41,57,999960.7420855138
1,41,64,34.60245781519916
1,41,71,0.05428748394604555
1,41,78,1000000.0
1,41,106,1000000.0
1,41,113,3.399581510690041
1,41,120,1000000.0
1,41,127,1000000.0
1,41,134,1000000.0
1,41,148,1000000.0
1,54,8,1000000.0
1,54,15,1000000.0
1,54,36,1000000.0
1,54,57,1000000.0
1,54,71,1000000.0
1,54,92,1000000.0
1,54,99,1000000.0
1,54,106,1000000.0
1,54,113,1000000.0
1,54,120,1000000.0
1,54,134,1000000.0
1,54,141,1000000.0
1,54,148,1000000.0
1,63,8,1000000.0
1,63,43,999983.1836207885
1,63,57,1000000.0
1,63,64,1000000.0
1,63,78,1000000.0
1,63,85,0.024331143319845608
1,63,99,9.595252058102389
1,63,106,999988.7284207004
1,63,113,1000000.0
1,63,120,1000000.0
1,63,134,1000000.0
1,63,148,0.013373157309128424
2,1,15,1000000.0
2,1,22,1000000.0
2,1,36,1000000.0
2,1,92,1000000.0
2,1,106,1000000.0
2,1,113,9.521740723831861
2,1,120,1000000.0
2,1,127,0.0075706590440048245
2,1,134,1000000.0
2,1,141,1000000.0
2,4,8,1000000.0
2,4,29,1000000.0
2,4,36,1000000.0
2,4,43,1000000.0
2,4,50,999986.7725835765
2,4,57,1000000.0
2,4,64,1000000.0
2,4,85,0.017486922908574343
2,4,99,1000000.0
2,4,106,1000000.0
2,4,120,1000000.0
2,4,127,1000000.0
2,4,141,1000000.0
2,10,1,327.04550257086953
2,10,36,1000000.0
2,10,43,1000000.0
2,10,57,0.658284722430788
2,10,71,1000000.0
2,10,120,1000000.0
2,10,127,1000000.0
2,10,148,0.0038053643608297505
2,12,15,8.123642907710746
2,12,22,1000000.0
2,12,57,1000000.0
2,12,64,1000000.0
2,12,71,1000000.0
2,12,113,1000000.0
2,12,141,1000000.0
2,12,148,1000000.0
2,15,8,1000000.0
2,15,29,1000000.0
2,15,43,1000000.0
2,15,50,1000000.0
2,15,64,1000000.0
2,15,71,1000000.0
2,15,78,1000000.0
2,15,85,1000000.0
2,15,92,1000000.0
2,15,99,1000000.0
2,15,134,1000000.0
2,23,8,1000000.0
2,23,15,1000000.0
2,23,29,1000000.0
2,23,36,1000000.0
2,23,57,1000000.0
2,23,71,1000000.0
2,23,78,1000000.0
2,23,85,1000000.0
2,23,99,1000000.0
2,23,106,1000000.0
2,23,120,1000000.0
2,23,127,1000000.0
2,45,15,999992.2916329569
2,45,22,1000000.0
2,45,29,1000000.0
2,45,36,999999.7794392669
2,45,43,999994.9253553117
2,45,50,1000000.0
2,45,64,1000000.0
2,45,85,999999.9884180165
2,45,92,1000000.0
2,45,113,1000000.0
2,45,127,999999.9958406865
2,45,134,1000000.0
2,45,141,0.0032213575577165654
2,45,148,1000000.0
2,61,8,1000000.0
2,61,15,1000000.0
2,61,22,0.07577252254492584
2,61,43,1000000.0
2,61,50,1000000.0
2,61,64,1000000.0
2,61,78,1.1810510344803333
2,61,85,1000000.0
2,61,92,1000000.0
2,61,99,0.004356582387515188
2,61,106,0.0037060476340491904
2,61,113,1000000.0
2,61,127,1000000.0
2,61,134,1000000.0
2,61,148,1000000.0
2,63,8,10.506288946179453
2,63,15,1000000.0
2,63,22,1000000.0
2,63,29,0.028061155429068393
2,63,36,0.23946935508865863
2,63,50,1000000.0
2,63,57,1000000.0
2,63,71,8.826654754003593
2,63,78,1000000.0
2,63,85,1000000.0
2,63,92,1000000.0
2,63,99,1000000.0
2,63,106,1000000.0
2,63,113,1000000.0
2,63,120,0.07257541636808769
2,63,134,999999.9356005831
2,63,141,1000000.0
2,63,148,1000000.0
3,7,15,1000000.0
3,7,22,999999.6148728557
3,7,43,1000000.0
3,7,50,1000000.0
3,7,57,1000000.0
3,7,78,1000000.0
3,7,99,1000000.0
3,7,106,1000000.0
3,7,113,1000000.0
3,7,120,1000000.0
3,7,141,1000000.0
3,7,148,1000000.0
3,22,8,1000000.0
3,22,29,1000000.0
3,22,36,1000000.0
3,22,43,1000000.0
3,22,71,1000000.0
3,22,78,999999.9960092339
3,22,85,1000000.0
3,22,92,22.608851491424076
3,22,99,1000000.0
3,22,106,999998.8670074756
3,22,113,1000000.0
3,22,127,1000000.0
3,22,134,1000000.0
3,22,148,4.865304901943616
3,29,1,999831.8629368553
3,29,15,999988.8328828242
3,29,57,1000000.0
3,29,78,999999.9962697794
3,29,85,1000000.0
3,29,99,1000000.0
3,29,106,1000000.0
3,29,120,1000000.0
3,29,134,1000000.0
3,31,8,1000000.0
3,31,22,1000000.0
3,31,29,1000000.0
3,31,43,1000000.0
3,31,50,1000000.0
3,31,64,1000000.0
3,31,71,9.502037198169244
3,31,92,1000000.0
3,31,113,1000000.0
3,31,127,1000000.0
3,31,141,1000000.0
3,31,148,1000000.0
3,38,8,1000000.0
3,38,36,1000000.0
3,38,64,1000000.0
3,38,85,1000000.0
3,38,92,1000000.0
3,38,99,1000000.0
3,38,120,1000000.0
3,38,127,1.187668897327967
3,38,134,999999.9894891226
3,38,141,6.546972594206122
3,38,148,1000000.0
3,66,1,1000000.0
3,66,22,1000000.0
3,66,29,1000000.0
3,66,36,1000000.0
3,66,43,37.81456425766434
3,66,50,1000000.0
3,66,57,1000000.0
3,66,64,1000000.0
3,66,71,1000000.0
3,66,78,1000000.0
3,66,113,999999.9578775618
3,66,120,4.75399521396291
3,66,127,1000000.0
3,66,134,1000000.0
3,66,141,999999.974008834
3,66,148,999999.9764828543
3,67,8,1000000.0
3,67,15,1000000.0
3,67,22,1000000.0
3,67,29,1000000.0
3,67,36,38.605382336005526
3,67,50,1000000.0
3,67,57,1000000.0
3,67,64,1000000.0
3,67,71,1000000.0
3,67,85,1000000.0
3,67,92,1000000.0
3,67,106,1000000.0
3,67,113,5.741408893119116
3,67,134,12.324658602271588
3,67,141,1000000.0
4,1,15,1000000.0
4,1,29,1000000.0
4,1,57,1000000.0
4,1,64,1000000.0
4,1,71,1000000.0
4,1,78,1000000.0
4,1,113,1000000.0
4,1,120,1000000.0
4,1,127,1000000.0
4,1,134,0.00015133369444057308
4,1,148,1000000.0
4,2,15,1000000.0
4,2,22,1000000.0
4,2,43,0.05516217994327005
4,2,50,1000000.0
4,2,64,999965.4659826652
4,2,71,1000000.0
4,2,78,1000000.0
4,2,85,1000000.0
4,2,92,1000000.0
4,2,113,1000000.0
4,2,134,1000000.0
4,2,148,1000000.0
4,10,22,999986.9512932348
4,10,36,1000000.0
4,10,43,1000000.0
4,10,50,1000000.0
4,10,57,999992.2345105371
4,10,71,5.249812518595718
4,10,78,1000000.0
4,10,85,1000000.0
4,10,92,1000000.0
4,10,99,1000000.0
4,10,106,1000000.0
4,10,134,1000000.0
4,10,141,1000000.0
4,10,148,1000000.0
4,12,8,1000000.0
4,12,29,1000000.0
4,12,36,999981.5058587885
4,12,50,1000000.0
4,12,64,1000000.0
4,12,85,1000000.0
4,12,92,1000000.0
4,12,106,1000000.0
4,12,120,1000000.0
4,12,127,1000000.0
4,12,148,1000000.0
4,15,8,1000000.0
4,15,29,0.0014113321477961934
4,15,36,999995.8087731855
4,15,64,1000000.0
4,15,71,999994.7507115533
4,15,99,1000000.0
4,15,113,1000000.0
4,15,127,1000000.0
4,15,141,1000000.0
4,20,29,1000000.0
4,20,43,1000000.0
4,20,57,1000000.0
4,20,71,1000000.0
4,20,78,1000000.0
4,20,85,1000000.0
4,20,92,1000000.0
4,20,99,1000000.0
4,20,120,1000000.0
4,20,134,1000000.0
4,20,141,1000000.0
4,54,1,10.948608576109564
4,54,8,1000000.0
4,54,15,999985.7856253013
4,54,22,1000000.0
4,54,36,1000000.0
4,54,43,1000000.0
4,54,85,999999.9715581486
4,54,99,1000000.0
4,54,106,0.0002384326439061845
4,54,113,1000000.0
4,54,127,1000000.0
4,58,1,999958.998930182
4,58,8,1000000.0
4,58,15,1000000.0
4,58,22,1000000.0
4,58,50,1000000.0
4,58,57,1000000.0
4,58,92,0.3187742867182229
4,58,106,1000000.0
4,58,120,1000000.0
4,58,127,1000000.0
4,63,1,44.87591782757181
4,63,8,1000000.0
4,63,15,36.92694971850142
4,63,22,1000000.0
4,63,29,1000000.0
4,63,36,999999.7502405943
4,63,43,1000000.0
4,63,50,1000000.0
4,63,57,1000000.0
4,63,64,1000000.0
4,63,71,1000000.0
4,63,78,1000000.0
4,63,99,1000000.0
4,63,106,1000000.0
4,63,113,0.00021781600129153572
4,63,120,1000000.0
4,63,134,1000000.0
4,63,141,1000000.0
4,63,148,0.00011584210162196546
5,30,1,996640.0424379549
5,30,36,1000000.0
5,30,43,1000000.0
5,30,71,1000000.0
5,30,85,1000000.0
5,30,113,999981.5829383823
5,30,134,10.824912054929882
5,30,148,1000000.0
5,48,8,1000000.0
5,48,29,1000000.0
5,48,43,1000000.0
5,48,50,1000000.0
5,48,57,1.5759563294453072
5,48,64,1000000.0
5,48,71,2.349285889109642
5,48,78,1000000.0
5,48,85,1000000.0
5,48,92,1000000.0
5,48,99,1000000.0
5,48,106,999999.9073032871
5,48,113,1000000.0
5,48,127,1000000.0
5,48,134,999989.1925018143
5,48,141,0.014334312751444728
5,49,15,1000000.0
5,49,22,1000000.0
5,49,29,0.35490908133476756
5,49,36,0.6429821828648532
5,49,43,1.3321520449388773
5,49,50,1000000.0
5,49,57,1000000.0
5,49,64,1000000.0
5,49,99,1000000.0
5,49,106,1000000.0
5,49,113,999989.907683428
5,49,120,1000000.0
5,49,127,1000000.0
5,49,141,1000000.0
5,49,148,1000000.0
5,57,8,1000000.0
5,57,15,59.694162889121905
5,57,22,1000000.0
5,57,29,1000000.0
5,57,36,1000000.0
5,57,50,1.2280393508030067
5,57,57,1000000.0
5,57,71,1000000.0
5,57,78,1000000.0
5,57,85,3.451773445264631
5,57,92,1000000.0
5,57,99,2.4667199291699333
5,57,120,1000000.0
5,57,127,0.019471207720150357
5,57,134,1000000.0
5,57,141,1000000.0
5,57,148,0.014826440547674492
6,43,8,63.19583543295846
6,43,50,999998.4624222482
6,43,57,999998.8562040568
6,43,78,999999.344509831
6,43,85,999999.4302828916
6,43,106,999999.6412976712
6,43,120,999999.6819952648
6,43,127,999999.71654497
6,43,148,999999.8355683027
6,50,1,1000000.0
6,50,8,430.2568155612721
6,50,15,435.8176444808617
6,50,22,1000000.0
6,50,29,1000000.0
6,50,36,1000000.0
6,50,43,1000000.0
6,50,50,2.226423517218791
6,50,57,1000000.0
6,50,64,1000000.0
6,50,71,1000000.0
6,50,78,1000000.0
6,50,85,1000000.0
6,50,92,1000000.0
6,50,99,0.6852276514065975
6,50,106,0.5541323240613565
6,50,113,1000000.0
6,50,120,1000000.0
6,50,127,0.42825968528632075
6,50,134,1000000.0
6,50,141,1000000.0
6,50,148,0.2512707448331639
7,3,8,1000000.0
7,3,22,1000000.0
7,3,29,1000000.0
7,3,36,1000000.0
7,3,64,1000000.0
7,3,71,1000000.0
7,3,85,1000000.0
7,3,92,1000000.0
7,3,99,999998.3119742337
7,3,127,1000000.0
7,3,134,1000000.0
7,18,1,999992.7110684852
7,18,15,1000000.0
7,18,22,999999.999678438
7,18,29,1000000.0
7,18,43,1000000.0
7,18,50,1000000.0
7,18,57,1000000.0
7,18,64,1000000.0
7,18,71,1000000.0
7,18,78,1000000.0
7,18,106,1000000.0
7,18,113,1000000.0
7,18,134,1000000.0
7,19,15,1000000.0
7,19,36,1000000.0
7,19,43,1000000.0
7,19,71,1000000.0
7,19,92,16.70182450802531
7,19,99,1000000.0
7,19,113,1000000.0
7,19,120,1000000.0
7,19,127,1000000.0
7,19,141,1000000.0
7,22,8,1000000.0
7,22,15,1000000.0
7,22,36,1000000.0
7,22,43,1000000.0
7,22,50,1000000.0
7,22,57,1000000.0
7,22,92,999984.641685372
7,22,106,1000000.0
7,22,127,1000000.0
7,22,141,1000000.0
7,22,148,1000000.0
7,31,8,1000000.0
7,31,15,999937.7122553346
7,31,50,1000000.0
7,31,57,1000000.0
7,31,78,1000000.0
7,31,85,1000000.0
7,31,99,1000000.0
7,31,106,1000000.0
7,31,120,1000000.0
7,31,134,1000000.0
7,31,148,1000000.0
7,38,8,1000000.0
7,38,22,1000000.0
7,38,29,1000000.0
7,38,50,1000000.0
7,38,78,1000000.0
7,38,92,999998.6585394001
7,38,113,1000000.0
7,38,120,1000000.0
7,38,127,999998.3111537928
7,38,134,0.001623962000350286
7,38,141,1000000.0
7,38,148,0.0025139500087169916
7,67,22,1000000.0
7,67,29,999985.9357007925
7,67,36,1000000.0
7,67,43,0.013897291953005013
7,67,57,0.005618901309920182
7,67,64,0.5107417743325756
7,67,71,0.0034178994868707567
7,67,78,1000000.0
7,67,85,1000000.0
7,67,92,1000000.0
7,67,99,1000000.0
7,67,106,0.0015703016399198078
7,67,113,1000000.0
7,67,120,0.0012313151666992267
7,67,141,1000000.0
7,67,148,1000000.0
8,13,29,0.010290467797453387
8,13,43,1000000.0
8,13,85,1000000.0
8,13,127,1000000.0
8,21,15,1000000.0
8,21,64,1000000.0
8,21,85,1000000.0
8,21,92,1000000.0
8,21,99,999997.9408926193
8,21,106,1000000.0
8,21,113,1000000.0
8,21,134,1000000.0
8,21,141,1000000.0
8,24,1,1000000.0
8,24,22,1000000.0
8,24,36,999986.1747878621
8,24,50,1000000.0
8,24,57,1000000.0
8,24,71,1000000.0
8,24,78,1000000.0
8,24,99,999999.9972441375
8,24,106,1000000.0
8,24,113,1000000.0
8,24,127,0.0004982190840903985
8,24,134,1000000.0
8,24,141,1000000.0
8,24,148,1000000.0
8,27,8,1000000.0
8,27,15,1000000.0
8,27,29,1000000.0
8,27,36,1000000.0
8,27,43,1000000.0
8,27,50,1000000.0
8,27,57,1000000.0
8,27,78,1000000.0
8,27,92,999991.0708956408
8,27,106,1000000.0
8,27,120,1000000.0
8,27,127,1000000.0
8,27,134,0.00044210014874240783
8,27,148,0.3187570001464337
8,35,8,999853.8860668943
8,35,15,999283.4997999881
8,35,22,1000000.0
8,35,29,1000000.0
8,35,36,1000000.0
8,35,43,1000000.0
8,35,50,1000000.0
8,35,57,1000000.0
8,35,64,1000000.0
8,35,71,39.23798841579908
8,35,78,1000000.0
8,35,85,999997.072964584
8,35,92,999999.9299550039
8,35,106,999998.6732106206
8,35,113,1000000.0
8,35,120,1000000.0
8,35,134,1000000.0
8,35,141,1000000.0
8,35,148,1000000.0
8,40,1,999678.7400813436
8,40,8,1000000.0
8,40,15,717.1511715330923
8,40,22,1000000.0
8,40,29,1000000.0
8,40,36,1000000.0
8,40,57,1000000.0
8,40,64,1000000.0
8,40,71,1000000.0
