region,timePeriod,I
1,0,4.095
1,1,0.6142500000000001
1,2,0.09213750000000002
1,3,0.013820625000000007
1,4,0.002073093750000001
1,5,0.00031096406249994657
1,6,4.664460937499199e-05
1,7,6.9966914062488e-06
1,8,1.04950371093732e-06
1,9,1.5742555664059802e-07
1,10,2.3613833496089706e-08
1,11,3.5420750244134565e-09
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
2,0,0.6405
2,1,0.09607500000000001
2,2,0.014411250000000004
2,3,0.002161687500000001
2,4,0.0003242531249999861
2,5,4.863796874999792e-05
2,6,7.295695312499689e-06
2,7,1.0943542968749536e-06
2,8,1.6415314453124307e-07
2,9,2.4622971679686463e-08
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
3,0,1.1692
3,1,0.17538000000000004
3,2,0.02630700000000001
3,3,0.003946050000000002
3,4,0.0005919075000000004
3,5,8.878612500000007e-05
3,6,1.3317918750000013e-05
3,7,1.997687812500002e-06
3,8,2.9965317187500036e-07
3,9,4.494797578125006e-08
3,10,6.74219636718751e-09
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
4,0,0.018500000000000003
4,1,0.002775000000000001
4,2,0.00041624999999999865
4,3,0.00018731249999999938
4,4,8.429062499999972e-05
4,5,1.264359374999996e-05
4,6,1.8965390624999942e-06
4,7,2.844808593749992e-07
4,8,4.267212890624988e-08
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
5,0,3.4360000000000004
5,1,0.5154000000000001
5,2,0.07731000000000002
5,3,0.011596500000000004
5,4,0.001739475000000001
5,5,0.00026092124999997635
5,6,3.9138187499996456e-05
5,7,5.8707281249994696e-06
5,8,8.806092187499206e-07
5,9,1.320913828124881e-07
5,10,1.981370742187322e-08
5,11,2.9720561132809834e-09
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
6,0,11.291300000000001
6,1,1.6936950000000004
6,2,0.2540542500000001
6,3,0.03810813750000002
6,4,0.005716220625000004
6,5,0.0008574330937499153
6,6,0.00012861496406241235
6,7,1.9292244609361857e-05
6,8,2.893836691404279e-06
6,9,4.3407550371064193e-07
6,10,6.51113255565963e-08
6,11,9.766698833489447e-09
6,12,1.4650048250234172e-09
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,0.0
6,26,0.0
7,0,0.0141
7,1,0.002115
7,2,0.0003172499999999985
7,3,0.00014276249999999933
7,4,6.42431249999997e-05
7,5,9.636468749999957e-06
7,6,1.4454703124999939e-06
7,7,2.1682054687499912e-07
7,8,3.252308203124987e-08
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
7,24,0.0
7,25,0.0
7,26,0.0
8,0,1.1064
8,1,0.16596000000000002
8,2,0.024894000000000006
8,3,0.0037341000000000015
8,4,0.0005601149999999722
8,5,8.401724999999584e-05
8,6,1.2602587499999378e-05
8,7,1.890388124999907e-06
8,8,2.835582187499861e-07
8,9,4.253373281249792e-08
8,10,6.3800599218746895e-09
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
8,21,0.0
8,22,0.0
8,23,0.0
8,24,0.0
8,25,0.0
8,26,0.0
9,0,0.6024
9,1,0.09036000000000002
9,2,0.013554000000000005
9,3,0.0020331000000000012
9,4,0.0003049649999999869
9,5,4.574474999999804e-05
9,6,6.861712499999707e-06
9,7,1.0292568749999562e-06
9,8,1.5438853124999345e-07
9,9,2.315827968749902e-08
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,0.0
9,26,0.0
10,0,1.2915
10,1,0.19372500000000004
10,2,0.029058750000000008
10,3,0.004358812500000002
10,4,0.0006538218749999741
10,5,9.807328124999613e-05
10,6,1.4710992187499422e-05
10,7,2.2066488281249135e-06
10,8,3.3099732421873707e-07
10,9,4.964959863281057e-08
10,10,7.447439794921587e-09
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
10,24,0.0
10,25,0.0
10,26,0.0
11,0,1.9787000000000001
11,1,0.29680500000000004
11,2,0.04452075000000001
11,3,0.006678112500000003
11,4,0.0010017168750000006
11,5,0.00015025753124997543
11,6,2.253862968749632e-05
11,7,3.380794453124448e-06
11,8,5.071191679686674e-07
11,9,7.606787519530011e-08
11,10,1.1410181279295018e-08
11,11,1.711527191894253e-09
11,12,0.0
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
11,21,0.0
11,22,0.0
11,23,0.0
11,24,0.0
11,25,0.0
11,26,0.0
12,0,0.239
12,1,0.03585000000000001
12,2,0.005377500000000002
12,3,0.0008066249999999879
12,4,0.00012099374999998726
12,5,1.8149062499998092e-05
12,6,2.7223593749997142e-06
12,7,4.083539062499572e-07
12,8,6.12530859374936e-08
12,9,9.18796289062404e-09
12,10,1.3781944335936064e-09
12,11,0.0
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
12,21,0.0
12,22,0.0
12,23,0.0
12,24,0.0
12,25,0.0
12,26,0.0
13,0,0.1223
13,1,0.018345000000000004
13,2,0.002751750000000001
13,3,0.00041276249999999334
13,4,6.191437499999901e-05
13,5,9.287156249999853e-06
13,6,1.393073437499978e-06
13,7,2.0896101562499675e-07
13,8,3.1344152343749516e-08
13,9,4.701622851562428e-09
13,10,0.0
13,11,0.0
13,12,0.0
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
13,20,0.0
13,21,0.0
13,22,0.0
13,23,0.0
13,24,0.0
13,25,0.0
13,26,0.0
14,0,0.001
14,1,0.00014999999999999736
14,2,2.249999999999961e-05
14,3,3.374999999999942e-06
14,4,5.062499999999913e-07
14,5,0.0
14,6,0.0
14,7,0.0
14,8,0.0
14,9,0.0
14,10,0.0
14,11,0.0
14,12,0.0
14,13,0.0
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.0
14,18,0.0
14,19,0.0
14,20,0.0
14,21,0.0
14,22,0.0
14,23,0.0
14,24,0.0
14,25,0.0
14,26,0.0
15,0,8.2206
15,1,1.23309
15,2,0.18496350000000003
15,3,0.02774452500000001
15,4,0.0041616787500000025
15,5,0.000624251812499893
15,6,9.363777187498397e-05
15,7,1.4045665781247597e-05
15,8,2.10684986718714e-06
15,9,3.1602748007807105e-07
15,10,4.7404122011710665e-08
15,11,7.110618301756601e-09
15,12,1.0665927452634902e-09
15,13,0.0
15,14,0.0
15,15,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.0
15,20,0.0
15,21,0.0
15,22,0.0
15,23,0.0
15,24,0.0
15,25,0.0
