region,timePeriod,S
1,0,405.405
1,1,324.324
1,2,267.74133750000004
1,3,228.16828125000012
1,4,200.48062978125014
1,5,181.10915038125017
1,6,167.55805706554702
1,7,158.08072081577325
1,8,151.45458314661028
1,9,146.82388311179352
1,10,143.58960938131986
1,11,141.33247321573822
1,12,139.7589905688078
1,13,138.66373974974795
1,14,137.90294185882703
1,15,137.3759671334824
1,16,137.01238943412568
1,17,136.76292442254157
1,18,136.59308632349996
1,19,136.47874769278474
1,20,136.40303128796742
1,21,136.35413440944444
1,22,136.32380596908484
1,23,136.3062804667095
1,24,136.2975318006292
1,25,136.29475096067645
1,26,136.29598043769772
2,0,63.409499999999994
2,1,50.72759999999999
2,2,41.87749124999999
2,3,35.68785937500001
2,4,31.35722670937501
2,5,28.327328649374977
2,6,26.207798669226577
2,7,24.72544607631329
2,8,23.689050184469835
2,9,22.964761204665137
2,10,22.458887624874308
2,11,22.105848377724158
2,12,21.859739552703473
2,13,21.68843109077409
2,14,21.56943449722951
2,15,21.487010245063885
2,16,21.430142963697847
2,17,21.391124077133895
2,18,21.364559656411895
2,19,21.346675921785504
2,20,21.334833099432277
2,21,21.327185126075847
2,22,21.322441446902687
2,23,21.319700278548964
2,24,21.318331897415547
2,25,21.317896945500582
2,26,21.31808924829462
3,0,115.7508
3,1,92.60064
3,2,76.445219
3,3,65.14636250000001
3,4,57.241014002500016
3,5,51.71009001850001
3,6,47.84099641539376
3,7,45.13503755257682
3,8,43.24314984493691
3,9,41.920997346595584
3,10,40.99755098623666
3,11,40.35309589450122
3,12,39.90383681947293
3,13,39.59112198228701
3,14,39.373899785823994
3,15,39.22343852838884
3,16,39.11963021426868
3,17,39.04840323216462
3,18,38.99991124058299
3,19,38.96726539757242
3,20,38.94564693100683
3,21,38.93168594677553
3,22,38.92302660306018
3,23,38.91802274044352
3,24,38.91552483069679
3,25,38.91473084825478
3,26,38.915081887207016
4,0,1.8315000000000001
4,1,1.4652000000000005
4,2,1.2095762500000002
4,3,1.0306720000000003
4,4,0.9055561531250003
4,5,0.8180755615624999
4,6,0.7568829956484375
4,7,0.7140871685156238
4,8,0.6841667070647843
4,9,0.6632571102620357
4,10,0.6486533739745646
4,11,0.6384620887337773
4,12,0.6313579527176483
4,13,0.6264133329761545
4,14,0.6229789608534224
4,15,0.6206004189790031
4,16,0.6189596823478283
4,17,0.6178341972528791
4,18,0.6170682367059461
4,19,0.6165528493916446
4,20,0.6162118240867613
4,21,0.615991864897711
4,22,0.6158557140635279
4,23,0.6157773380478417
4,24,0.6157385579266943
4,25,0.6157266907772305
4,26,0.6157328987611786
5,0,340.16400000000004
5,1,272.13120000000004
5,2,224.65427000000005
5,3,191.44962500000008
5,4,168.21769082500006
5,5,151.963624105
5,6,140.5932806049376
5,7,132.6411127528687
5,8,127.0813059076321
5,9,123.19581498708726
5,10,120.48202633314179
5,11,118.58812648822402
5,12,117.26786119521955
5,13,116.34886685717561
5,14,115.71050261951882
5,15,115.26833286218425
5,16,114.96326498062399
5,17,114.7539458646769
5,18,114.61143946460209
5,19,114.51550111658298
5,20,114.45196959840192
5,21,114.4109415948351
5,22,114.38549384854097
5,23,114.37078868952699
5,24,114.36344792843997
5,25,114.36111460339048
5,26,114.36214622318172
