fromRegion,toRegion,timePeriod,transferIndicator
1,1,0,1
1,1,1,1
1,1,2,1
1,1,3,1
1,1,4,1
1,1,5,1
1,1,6,1
1,1,7,1
1,1,8,1
1,1,9,1
1,1,10,1
1,1,11,1
1,1,12,1
1,1,13,1
1,1,14,1
1,1,15,1
1,1,16,1
1,1,17,1
1,1,18,1
1,1,19,1
1,1,20,1
1,1,21,1
1,1,22,1
1,1,23,1
1,1,24,1
1,1,25,1
1,1,26,1
1,2,2,1
1,2,7,1
1,2,8,1
1,2,10,1
1,2,13,1
1,2,16,1
1,2,22,1
1,4,4,1
1,4,6,1
1,4,8,1
1,4,9,1
1,4,11,1
1,4,13,1
1,4,16,1
1,4,17,1
1,4,20,1
1,4,25,1
1,9,3,1
1,9,5,1
1,9,7,1
1,9,11,1
1,9,15,1
1,9,16,1
1,9,20,1
1,9,22,1
1,9,24,1
1,9,25,1
1,10,11,1
1,10,14,1
1,10,19,1
1,10,24,1
1,10,25,1
1,12,4,1
1,12,8,1
1,12,10,1
1,12,12,1
1,12,17,1
1,12,19,1
1,12,20,1
1,12,24,1
1,12,25,1
1,14,1,1
1,14,2,1
1,14,4,1
1,14,7,1
1,14,8,1
1,14,9,1
1,14,12,1
1,14,16,1
1,14,17,1
1,14,18,1
1,14,20,1
1,14,22,1
1,14,24,1
1,14,25,1
1,15,2,1
1,15,3,1
1,15,4,1
1,15,5,1
1,15,7,1
1,15,8,1
1,15,9,1
1,15,10,1
1,15,13,1
1,15,15,1
1,15,16,1
1,15,17,1
1,15,18,1
1,15,19,1
1,15,23,1
1,15,24,1
1,15,25,1
1,17,1,1
1,17,2,1
1,17,3,1
1,17,6,1
1,17,7,1
1,17,12,1
1,17,14,1
1,17,15,1
1,17,17,1
1,17,18,1
1,17,19,1
1,17,22,1
1,17,25,1
1,17,26,1
1,20,1,1
1,20,4,1
1,20,6,1
1,20,7,1
1,20,12,1
1,20,13,1
1,20,16,1
1,20,17,1
1,20,18,1
1,20,20,1
1,20,21,1
1,20,23,1
1,20,26,1
1,23,2,1
1,23,3,1
1,23,4,1
1,23,5,1
1,23,8,1
1,23,9,1
1,23,11,1
1,23,14,1
1,23,15,1
1,23,19,1
1,23,20,1
1,23,22,1
1,23,23,1
1,23,24,1
1,23,25,1
1,23,26,1
1,26,1,1
1,26,2,1
1,26,5,1
1,26,7,1
1,26,9,1
1,26,12,1
1,26,13,1
1,26,14,1
1,26,15,1
1,26,18,1
1,26,20,1
1,26,21,1
1,26,23,1
1,26,26,1
1,28,4,1
1,28,5,1
1,28,8,1
1,28,11,1
1,28,12,1
1,28,17,1
1,28,21,1
1,28,23,1
1,28,24,1
1,28,25,1
1,28,26,1
1,32,2,1
1,32,4,1
1,32,6,1
1,32,8,1
1,32,13,1
1,32,16,1
1,32,18,1
1,32,20,1
1,32,23,1
1,32,24,1
1,33,1,1
1,33,6,1
1,33,7,1
1,33,10,1
1,33,11,1
1,33,14,1
1,33,15,1
1,33,16,1
1,33,17,1
1,33,18,1
1,33,19,1
1,33,21,1
1,33,22,1
1,33,23,1
1,33,26,1
1,34,1,1
1,34,2,1
1,34,4,1
1,34,5,1
1,34,6,1
1,34,8,1
1,34,9,1
1,34,10,1
1,34,12,1
1,34,15,1
1,34,17,1
1,34,18,1
1,34,20,1
1,34,22,1
1,34,23,1
1,34,25,1
1,34,26,1
1,36,1,1
1,36,3,1
1,36,6,1
1,36,8,1
1,36,9,1
1,36,11,1
1,36,12,1
1,36,13,1
1,36,14,1
1,36,15,1
1,36,16,1
1,36,18,1
1,36,19,1
1,36,20,1
1,36,26,1
1,37,2,1
1,37,3,1
1,37,5,1
1,37,6,1
1,37,9,1
1,37,10,1
1,37,13,1
1,37,15,1
1,37,16,1
1,37,17,1
1,37,18,1
1,37,19,1
1,37,20,1
1,37,21,1
1,37,22,1
1,37,23,1
1,37,25,1
1,39,2,1
1,39,5,1
1,39,10,1
1,39,11,1
1,39,14,1
1,39,15,1
1,39,17,1
1,39,18,1
1,39,19,1
1,39,22,1
1,39,23,1
1,41,1,1
1,41,5,1
1,41,6,1
1,41,12,1
1,41,13,1
1,41,14,1
1,41,19,1
1,41,22,1
1,41,23,1
1,41,24,1
1,41,26,1
1,45,1,1
1,45,2,1
1,45,3,1
1,45,4,1
1,45,5,1
1,45,7,1
1,45,10,1
1,45,12,1
1,45,13,1
1,45,21,1
1,45,22,1
1,45,26,1
1,48,4,1
1,48,5,1
1,48,8,1
1,48,9,1
1,48,10,1
1,48,11,1
1,48,12,1
1,48,13,1
1,48,14,1
1,48,16,1
1,48,17,1
1,48,21,1
1,48,26,1
1,51,1,1
1,51,3,1
1,51,4,1
1,51,6,1
1,51,7,1
1,51,16,1
1,51,18,1
1,51,19,1
1,51,24,1
1,51,26,1
1,54,1,1
1,54,3,1
1,54,6,1
1,54,7,1
1,54,10,1
1,54,11,1
1,54,12,1
1,54,13,1
1,54,15,1
1,54,16,1
1,54,17,1
1,54,18,1
1,54,21,1
1,54,23,1
1,54,24,1
1,57,1,1
1,57,3,1
1,57,8,1
1,57,9,1
1,57,10,1
1,57,12,1
1,57,13,1
1,57,14,1
1,57,19,1
1,57,21,1
1,57,22,1
1,57,23,1
1,57,24,1
1,57,25,1
1,58,1,1
1,58,2,1
1,58,3,1
1,58,4,1
1,58,5,1
1,58,6,1
1,58,7,1
1,58,9,1
1,58,10,1
1,58,11,1
1,58,14,1
1,58,17,1
1,58,18,1
1,58,20,1
1,58,21,1
1,58,25,1
1,60,1,1
1,60,3,1
1,60,5,1
1,60,6,1
1,60,7,1
1,60,9,1
1,60,11,1
1,60,13,1
1,60,14,1
1,60,15,1
1,60,16,1
1,60,17,1
1,60,20,1
1,60,21,1
1,60,22,1
1,60,24,1
1,60,25,1
1,61,3,1
1,61,4,1
1,61,8,1
1,61,9,1
1,61,10,1
1,61,11,1
1,61,18,1
1,61,19,1
1,61,21,1
1,61,23,1
1,61,26,1
1,62,2,1
1,62,3,1
1,62,6,1
1,62,7,1
1,62,8,1
1,62,9,1
1,62,10,1
1,62,12,1
1,62,14,1
1,62,15,1
1,62,16,1
1,62,21,1
1,62,24,1
1,62,25,1
1,63,1,1
1,63,2,1
1,63,3,1
1,63,4,1
1,63,5,1
1,63,6,1
1,63,9,1
1,63,11,1
1,63,13,1
1,63,14,1
1,63,15,1
1,63,19,1
