fromRegion,toFacility,timePeriod,quantity
1,1,0,1.02375
1,1,1,0.020474999999999993
1,1,3,8.189999999999993e-06
1,1,4,1.637999999999998e-07
1,2,2,0.0004094999999999997
2,1,0,0.160125
2,1,1,0.003202499999999997
2,1,2,6.404999999999989e-05
2,1,3,1.2809999999999967e-06
3,3,0,0.2923
3,3,1,0.005846000000000018
3,3,3,2.338400000000021e-06
3,7,2,0.00011692000000000072
4,1,0,0.004625000000000001
4,1,1,9.250000000000036e-05
4,1,2,1.8500000000000145e-06
5,5,0,0.8590000000000001
5,5,1,0.017180000000000036
5,5,3,6.872000000000042e-06
5,5,4,1.3744000000000108e-07
5,30,2,0.0003436000000000014
6,6,0,2.8228250000000004
6,43,1,0.056456499999999896
6,43,2,0.0011291299999999958
6,43,3,2.2582599999999867e-05
6,43,4,4.516519999999964e-07
7,3,0,0.003525
7,3,1,7.049999999999896e-05
7,3,2,1.4099999999999793e-06
8,8,0,0.2766
8,8,1,0.005532000000000004
8,8,3,2.2128000000000045e-06
8,13,2,0.00011064000000000013
9,1,0,0.1506
9,1,1,0.003011999999999997
9,1,2,6.023999999999987e-05
9,1,3,1.2047999999999963e-06
10,1,0,0.322875
10,1,1,0.006457499999999996
10,1,2,0.00012914999999999983
10,1,3,2.582999999999995e-06
11,11,0,0.49467500000000003
11,44,1,0.009893500000000017
11,44,2,0.0001978700000000007
11,44,3,3.957400000000021e-06
12,1,0,0.05975
12,1,1,0.0011950000000000038
12,1,2,2.3900000000000154e-05
12,1,3,4.780000000000047e-07
13,8,0,0.030575
13,8,1,0.0006115000000000004
13,8,2,0.0003179800000000002
13,8,3,5.882630000000004e-05
13,8,4,3.0589676000000024e-05
13,8,5,5.659090060000005e-06
13,35,6,3.8764766911000036e-06
13,35,7,7.171481878535008e-07
13,35,8,3.729170576838204e-07
13,35,9,6.898965567150677e-08
15,1,0,2.05515
15,1,1,0.04110299999999995
15,1,2,0.0008220599999999982
15,1,3,1.6441199999999947e-05
15,1,4,3.288239999999986e-07
16,16,0,0.7102750000000001
16,66,1,0.014205500000000058
16,66,2,0.00028411000000000235
16,66,3,5.68220000000007e-06
17,1,0,0.049725000000000005
17,1,1,0.0009945000000000004
17,1,2,1.9890000000000018e-05
17,1,3,3.978000000000005e-07
18,7,26,1.8707954255906132e-07
18,18,26,1.8707954255906132e-07
18,19,0,0.0034999999999999996
18,19,26,1.8707954255906132e-07
18,22,26,1.8707954255906132e-07
18,36,1,6.999999999999926e-05
18,36,2,1.3999999999999866e-06
