region,timePeriod,U
1,1,0.0
1,8,0.0
1,15,0.0
1,22,0.0
1,29,0.0
1,36,0.0
1,43,0.0
1,50,0.0
2,1,0.0
2,8,0.0
2,15,0.0
2,22,0.0
2,29,0.0
2,36,0.0
2,43,0.0
2,50,0.0
3,1,0.0
3,8,0.0
3,15,0.0
3,22,0.0
3,29,0.0
3,36,0.0
3,43,0.0
3,50,0.0
4,1,0.0
4,8,0.0
4,15,0.0
4,22,0.0
4,29,0.0
4,36,0.0
4,43,0.0
4,50,0.0
5,1,-4.598112074420687e-11
5,8,0.0
5,15,0.0
5,22,0.0
5,29,0.0
5,36,0.0
5,43,0.0
5,50,0.0
6,1,-1.0180135806552034e-10
6,8,0.0
6,15,0.0
6,22,0.0
6,29,0.0
6,36,0.0
6,43,0.0
6,50,-3.026413747379838e-11
7,1,0.0
7,8,0.0
7,15,0.0
7,22,0.0
7,29,0.0
7,36,0.0
7,43,0.0
7,50,0.0
8,1,0.0
8,8,0.0
8,15,0.0
8,22,0.0
8,29,0.0
8,36,0.0
8,43,0.0
8,50,0.0
9,1,900.8594897146244
9,8,0.0
9,15,0.0
9,22,0.0
9,29,0.0
9,36,0.0
9,43,0.0
9,50,0.0
10,1,0.0
10,8,0.0
10,15,0.0
10,22,0.0
10,29,0.0
10,36,0.0
10,43,0.0
10,50,0.0
11,1,0.0
11,8,-1.384085198118807e-10
11,15,-1.494461404620569e-11
11,22,0.0
11,29,0.0
11,36,0.0
11,43,0.0
11,50,0.0
12,1,0.0
12,8,0.0
12,15,0.0
12,22,0.0
12,29,0.0
12,36,0.0
12,43,0.0
12,50,0.0
13,1,0.0
13,8,0.0
13,15,0.0
13,22,0.0
13,29,0.0
13,36,0.0
13,43,0.0
13,50,0.0
14,1,0.0
14,8,0.0
14,15,0.0
14,22,0.0
14,29,0.0
14,36,0.0
14,43,0.0
14,50,0.0
15,1,0.0
15,8,0.0
15,15,0.0
15,22,0.0
15,29,0.0
15,36,0.0
15,43,0.0
15,50,0.0
16,1,0.0
16,8,0.0
16,15,-2.0678693923789697e-11
16,22,0.0
16,29,0.0
16,36,0.0
16,43,0.0
16,50,0.0
17,1,8.567724307795288e-11
17,8,0.0
17,15,0.0
17,22,0.0
17,29,0.0
17,36,0.0
17,43,0.0
17,50,0.0
18,1,-2.2638015517648173e-11
18,8,0.0
18,15,0.0
18,22,0.0
18,29,0.0
18,36,0.0
18,43,0.0
18,50,0.0
19,1,0.0
19,8,0.0
19,15,0.0
19,22,0.0
19,29,0.0
19,36,0.0
19,43,0.0
19,50,0.0
20,1,0.0
20,8,0.0
20,15,0.0
20,22,0.0
20,29,0.0
20,36,0.0
20,43,0.0
20,50,0.0
21,1,0.0
21,8,0.0
21,15,0.0
21,22,0.0
21,29,0.0
21,36,0.0
21,43,0.0
21,50,0.0
22,1,8.661338313231681e-11
22,8,0.0
22,15,0.0
22,22,0.0
22,29,0.0
22,36,0.0
22,43,0.0
22,50,0.0
23,1,0.0
23,8,0.0
23,15,0.0
23,22,0.0
23,29,0.0
23,36,0.0
23,43,0.0
23,50,0.0
24,1,0.0
24,8,0.0
24,15,0.0
24,22,0.0
24,29,0.0
24,36,0.0
24,43,0.0
24,50,0.0
25,1,0.0
25,8,0.0
25,15,0.0
25,22,0.0
25,29,0.0
25,36,0.0
25,43,0.0
25,50,0.0
26,1,0.0
26,8,0.0
26,15,0.0
26,22,0.0
26,29,0.0
26,36,0.0
26,43,0.0
26,50,0.0
27,1,0.0
27,8,0.0
27,15,0.0
27,22,0.0
27,29,0.0
27,36,0.0
27,43,0.0
27,50,0.0
28,1,0.0
28,8,0.0
28,15,0.0
28,22,0.0
28,29,0.0
28,36,0.0
28,43,0.0
28,50,0.0
29,1,-3.6609062059531146e-11
29,8,0.0
29,15,0.0
29,22,0.0
29,29,0.0
29,36,0.0
29,43,0.0
29,50,0.0
30,1,0.0
30,8,0.0
30,15,0.0
30,22,0.0
30,29,0.0
30,36,0.0
30,43,0.0
30,50,0.0
31,1,0.0
31,8,0.0
31,15,0.0
31,22,0.0
31,29,0.0
31,36,0.0
31,43,0.0
31,50,0.0
32,1,0.0
32,8,0.0
32,15,0.0
32,22,0.0
32,29,0.0
32,36,0.0
32,43,0.0
32,50,0.0
33,1,0.0
33,8,0.0
33,15,0.0
33,22,0.0
33,29,0.0
33,36,0.0
33,43,0.0
33,50,0.0
34,1,0.0
34,8,0.0
34,15,0.0
34,22,0.0
34,29,0.0
34,36,0.0
34,43,0.0
34,50,0.0
35,1,0.0
35,8,0.0
35,15,0.0
35,22,0.0
35,29,0.0
35,36,0.0
35,43,0.0
35,50,0.0
36,1,0.0
36,8,0.0
36,15,0.0
36,22,0.0
