region,timePeriod,X
1,0,0.0
1,1,81.081
1,2,137.8377
1,3,177.60219750000005
1,4,205.47563400000007
1,5,225.0241965562501
1,6,238.74360697687513
1,7,248.380857692297
1,8,255.15891608622195
1,9,259.9339411069218
1,10,263.3053236185883
1,11,265.6927131329935
1,12,267.3899364628418
1,13,268.60274093031916
1,14,269.47521478723684
1,15,270.10828168027854
1,16,270.5726469389472
1,17,270.9178601318776
1,18,271.17865900319816
1,19,271.3794103675784
1,20,271.53721886937745
1,21,271.66410324003317
1,22,271.7685197979187
1,23,271.8564290119438
1,24,271.9320422040913
1,25,271.99834434380807
1,26,272.0574601015626
2,0,0.0
2,1,12.681899999999999
2,2,21.55923
2,3,27.778805249999998
2,4,32.138496599999996
2,5,35.196092281875
2,6,37.3419487835625
2,7,38.849313639051566
2,8,39.90947149040907
2,9,40.65633437826213
2,10,41.183653181368946
2,11,41.557065388206915
2,12,41.82252852493106
2,13,42.01222358297865
2,14,42.1486874428356
2,15,42.24770559799794
2,16,42.32033708721092
2,17,42.3743319712294
2,18,42.415123589533245
2,19,42.4465231618623
2,20,42.47120603003317
2,21,42.49105204691631
2,22,42.50738386743985
2,23,42.5211337700764
2,24,42.53296044877855
2,25,42.54333078338381
2,26,42.55257709414555
3,0,0.0
3,1,23.15016
3,2,39.35527200000001
3,3,50.7087886
3,4,58.66718224
3,5,64.2486668165
3,6,68.16581813855001
3,7,70.91743560777375
3,8,72.85269955751174
3,9,74.21605957074794
3,10,75.17865308299227
3,11,75.86029797194038
3,12,76.34488735364658
3,13,76.69116598217651
3,14,76.94027378041626
3,15,77.12102635953944
3,16,77.25361142926326
3,17,77.35217632919068
3,18,77.42663934270453
3,19,77.48395765655067
3,20,77.52901497041009
3,21,77.56524285957045
3,22,77.5950557629685
3,23,77.62015550728368
3,24,77.64174450464402
3,25,77.66067502031899
3,26,77.67755368793804
4,0,0.0
4,1,0.36630000000000007
4,2,0.6227100000000002
4,3,0.8023542500000003
4,4,0.9282532250000003
4,5,1.0165391331250004
4,6,1.0785003321250004
4,7,1.122026898042188
4,8,1.1526416419410939
4,9,1.1742108255607606
4,10,1.1894411650570915
4,11,1.2002277233462955
4,12,1.2078973687584214
4,13,1.2133792224261088
4,14,1.217323966778729
4,15,1.2201873622715405
4,16,1.222288709840187
4,17,1.2238517753257339
4,18,1.2250334372437364
4,19,1.225943740860552
4,20,1.2266599366528257
4,21,1.2272363078048953
4,22,1.227711050003948
4,23,1.2281110878162589
4,24,1.2284554466442015
4,25,1.2287576135651201
4,26,1.2290271903640544
5,0,0.0
5,1,68.03280000000001
5,2,115.65576000000001
5,3,149.021038
5,4,172.40885920000002
5,5,188.81151144500006
5,6,200.32308512150007
5,7,208.40943273033758
5,8,214.09671200787756
5,9,218.10330198861624
5,10,220.93213478717206
5,11,222.93532657508322
5,12,224.3594192152197
5,13,225.37704953274164
5,14,226.1091179509026
5,15,226.6403066797161
5,16,227.02994258418136
5,17,227.31960132188803
5,18,227.53843036263459
5,19,227.70687521929156
5,20,227.839287920679
5,21,227.9457530482915
5,22,228.03336606242937
5,23,228.10712822589463
5,24,228.17057314121055
5,25,228.2262054127775
5,26,228.27580779217783
6,0,0.0
6,1,223.56774000000001
6,2,380.06515800000005
6,3,489.70932665
6,4,566.5658183600001
6,5,620.4678169903751
6,6,658.2968716625127
6,7,684.8700313702157
6,8,703.5594308191352
6,9,716.7257897974572
6,10,726.0218316421411
6,11,732.6046719898831
6,12,737.2844907406319
6,13,740.6286028486728
6,14,743.0343083578192
6,15,744.7798878960343
6,16,746.060299970507
6,17,747.0121695004739
6,18,747.7312801953947
6,19,748.2848196045861
6,20,748.7199510176295
6,21,749.0698141420389
6,22,749.3577259076404
6,23,749.6001213431509
6,24,749.8086124876179
6,25,749.9914299113742
6,26,750.1544320495016
7,0,0.0
7,1,0.27918
7,2,0.47460600000000003
7,3,0.6115240500000001
7,4,0.7074794850000001
7,5,0.7747676636250002
7,6,0.8219921450250002
7,7,0.8551664466159378
7,8,0.8784998460199691
7,9,0.8949390616436074
7,10,0.9065470501245951
7,11,0.914768156712583
7,12,0.9206136702429062
7,13,0.9247917316869276
7,14,0.9277982665718978
7,15,0.9299806382718245
7,16,0.9315822058781984
7,17,0.9327735152482641
7,18,0.9336741332506338
7,19,0.93436793222345
7,20,0.934913789557021
7,21,0.9353530778404904
7,22,0.93571490838139
7,23,0.9360198020653675
7,24,0.9362822593342318
7,25,0.9365125595280132
7,26,0.9367180207639575
8,0,0.0
8,1,21.90672
8,2,37.241424
8,3,47.98512120000001
8,4,55.51605408000002
8,5,60.79774629300002
8,6,64.50449981910002
8,7,67.10832257649753
8,8,68.93963974549351
8,9,70.22977104778955
8,10,71.140661795264
8,11,71.78569421498018
8,12,72.24425536099434
8,13,72.57193469267885
8,14,72.80766242785886
8,15,72.97870643533568
8,16,73.10417010377773
8,17,73.19744089173504
8,18,73.26790435235061
8,19,73.32214398837472
8,20,73.3647811865051
8,21,73.39906320546424
8,22,73.42727479999009
8,23,73.45102638834992
8,24,73.47145579878395
8,25,73.48936951974083
8,26,73.50534160138103
9,0,0.0
9,1,11.927520000000001
9,2,20.276784000000003
9,3,26.126389200000002
9,4,30.226745280000003
9,5,33.10246056300001
9,6,35.12067126810001
9,7,36.53837086052252
9,8,37.53546545795851
9,9,38.237901373091496
9,10,38.73385273451468
9,11,39.085052599306536
9,12,39.33472472040352
9,13,39.513135810126975
9,14,39.641482147641156
9,15,39.734610229873475
9,16,39.80292125110987
9,17,39.85370426146543
9,18,39.89206939942989
9,19,39.92160117518481
9,20,39.944815788434056
9,21,39.963481269418295
9,22,39.97884159523153
9,23,39.99177358796886
9,24,40.00289675931964
9,25,40.01265021687812
9,26,40.02134651290133
10,0,0.0
10,1,25.571700000000003
10,2,43.47189000000001
10,3,56.01300075000001
10,4,64.80385380000001
10,5,70.96916968312502
10,6,75.29606066193753
10,7,78.33550127218598
10,8,80.47319661180848
10,9,81.97916604141382
10,10,83.0424482181702
10,11,83.79539414194412
10,12,84.33067226927356
10,13,84.71317213990852
10,14,84.98833697178213
10,15,85.18799653040135
10,16,85.3344501889271
10,17,85.44332511901283
10,18,85.52557707073461
10,19,85.58889096256858
10,20,85.63866133619963
10,21,85.67867871462128
10,22,85.71161009055236
10,23,85.73933530418823
10,24,85.76318254169324
10,25,85.78409321650868
10,26,85.8027374170133
11,0,0.0
11,1,39.17826
11,2,66.60304200000002
11,3,85.81720835000002
11,4,99.28562564000003
11,5,108.73147197212504
11,6,115.36067768623755
11,7,120.0173878182535
11,8,123.29253901338397
11,9,125.59982643913705
11,10,127.22887517560457
11,11,128.38245945696073
11,12,129.20255611209402
11,13,129.78858204611046
11,14,130.21016056153977
11,15,130.51605786587712
11,16,130.7404387052733
11,17,130.90724538289268
11,18,131.03326314276615
11,19,131.1302660059405
11,20,131.20651891986233
11,21,131.2678293238224
11,22,131.3182833025985
11,23,131.36076094894563
11,24,131.39729716953224
11,25,131.42933429867935
11,26,131.45789897508197
12,0,0.0
12,1,4.7322
12,2,8.04474
12,3,10.3655495
12,4,11.9923508
12,5,13.133280336250003
12,6,13.933998062875002
12,7,14.496465198646879
12,8,14.892058838731876
12,9,15.170747722723883
12,10,15.367514614125179
12,11,15.506851877810014
12,12,15.605908379824447
12,13,15.67669232796668
12,14,15.727613268561763
12,15,15.764561495029067
12,16,15.791663643204384
12,17,15.811811617092907
12,18,15.827032845472377
12,19,15.83874946966264
12,20,15.847959782704223
12,21,15.855365244136312
12,22,15.861459397326602
12,23,15.866590118238246
12,24,15.871003195870914
12,25,15.874872844558574
12,26,15.878323068267488
13,0,0.0
13,1,2.4215400000000002
13,2,4.116618000000001
13,3,5.3042121500000015
13,4,6.136671560000003
13,5,6.720502866625003
13,6,7.130242523387503
13,7,7.418065664412191
13,8,7.62049705429669
13,9,7.763106470665823
13,10,7.863795135883109
13,11,7.935096170638409
13,12,7.985784916191105
13,13,8.022006158240782
13,14,8.048063191830204
13,15,8.066970171289716
13,16,8.080838760060946
13,17,8.0911487901929
13,18,8.098937728377756
13,19,8.104933306345018
13,20,8.10964636609807
13,21,8.113435855342379
13,22,8.116554327859708
13,23,8.119179797165836
13,24,8.12143803729692
13,25,8.12341819642464
13,26,8.125183729298202
14,0,0.0
14,1,0.0198
14,2,0.03366
14,3,0.04337050000000003
14,4,0.050177200000000026
14,5,0.05495096375000003
14,6,0.05830126231250003
14,7,0.06065469192187504
14,8,0.06230990223328128
14,9,0.06347596855686721
14,10,0.06429926313369885
14,11,0.06488226508028641
14,12,0.06529672739856282
14,13,0.0655928939292382
14,14,0.06580595126319876
14,15,0.06596054512133454
14,16,0.0660739418601748
14,17,0.06615824156360095
14,18,0.06622192724292533
14,19,0.06627094931103215
14,20,0.0663094847466577
14,21,0.06634046854014881
14,22,0.06636596573471817
14,23,0.06638743188308602
14,24,0.06640589539350433
14,25,0.06642208519702994
14,26,0.06643652013841903
15,0,0.0
15,1,162.76788
15,2,276.70539599999995
15,3,356.5315322999998
15,4,412.48669031999987
15,5,451.72989260324994
15,6,479.2712321157749
15,7,498.61774816734925
15,8,512.2245141827582
15,9,521.8102457298071
15,10,528.5782035015789
15,11,533.3708223641231
15,12,536.7779515717791
15,13,539.2126232212224
15,14,540.9640905198052
15,15,542.2349549155656
15,16,543.1671554150129
15,17,543.8601614159202
15,18,544.3837079852846
15,19,544.7867108341327
15,20,545.1035070661045
15,21,545.3582239543742
15,22,545.5678373257579
15,23,545.7443126578416
15,24,545.8961040638096
15,25,546.0292037878212
15,26,546.1478770474715
16,0,0.0
16,1,56.253780000000006
16,2,95.63142600000002
16,3,123.21992755000004
16,4,142.55844292000006
16,5,156.12118311012506
16,6,165.63967320683756
16,7,172.32597186558849
16,8,177.02857057205492
16,9,180.34147010473146
16,10,182.6805262351089
16,11,184.33689066719106
16,12,185.51441965435396
16,13,186.35586013605115
16,14,186.961180154339
16,15,187.4004002641853
16,16,187.7225756332703
16,17,187.96208361921282
16,18,188.14302517557638
16,19,188.28230593292452
16,20,188.39179304756706
16,21,188.47982508309087
