region,timePeriod,allocatedVaccines
1,0,405.40500000000003
1,1,406.3950000000001
1,2,407.38741758241775
1,3,408.38225865099525
1,4,409.3798144573042
1,5,409.5067708934452
1,6,409.50383626831115
1,7,409.50242764819916
1,8,409.501751510468
1,9,409.501426964298
1,10,409.50127118209554
1,11,409.50119640658636
1,12,409.5005742751646
1,13,409.50014058277526
1,14,409.50013231300363
1,15,409.5003953721098
1,16,409.5005315804611
1,17,409.50068494283704
1,18,409.5009351420614
1,19,409.50114946640645
1,20,409.5013179599917
1,21,409.50145539505166
1,22,409.5015761171793
1,23,409.50168905796033
1,24,409.5017920632827
1,25,409.501742771727
2,0,63.40950000000001
2,1,64.0037095161188
2,2,64.00370951612653
2,3,64.00370951614381
2,4,64.00370951619338
2,5,64.0037095162284
2,6,64.00370951624068
2,7,64.00370951630434
2,8,64.00370951644074
2,9,63.99226484444854
2,10,63.986771402005175
2,11,63.98413454986077
2,12,63.982868861028706
2,13,63.98226132989798
2,14,64.01689119967804
2,15,64.01801827109789
2,16,64.05054179329792
2,17,64.05071950124895
2,18,64.05100239711572
2,19,64.05129788539999
2,20,64.05082224005399
2,21,64.05077048141884
2,22,64.0507472647315
2,23,64.05082805976217
2,24,64.0509115523562
2,25,64.05098901886221
3,0,115.75080000000003
3,1,116.7408000000001
3,2,116.93596711991252
3,3,116.92839070389073
3,4,116.92475402416441
3,5,116.92300841787164
3,6,116.9221705268252
3,7,116.92176833904762
3,8,116.92157528884707
3,9,116.92148262466307
3,10,116.9207116598411
3,11,116.92034159672662
3,12,116.92016396643339
3,13,116.92007870389347
3,14,116.92065183898387
3,15,116.92031288271889
3,16,116.92060737384298
3,17,116.92099150782838
3,18,116.92130598663788
3,19,116.92153336746946
3,20,116.9208695054208
3,21,116.92075906206628
3,22,116.92079270159762
3,23,116.92085114768852
3,24,116.92091820368982
3,25,116.920893362327
4,0,0.05372372880782099
4,1,0.053723728807820545
4,2,0.053723728819959723
4,3,0.05372372884638703
4,4,0.0537237289823982
4,5,0.05354386568481663
4,6,0.05345753138998345
4,7,0.053416091260678936
4,8,0.05339620041790162
4,9,0.05338665317426773
4,10,0.05338206985699459
4,11,0.053379870221580944
4,12,0.053378814248886824
4,13,0.05337830738199617
4,14,0.05337806408589159
4,15,0.053377947303765855
4,16,0.05337789124834956
4,17,0.053377864341756176
4,18,0.05337785142659922
4,19,0.05337784522733202
4,20,0.05337784225169241
4,21,0.05382482607466405
4,22,0.05359239305842436
4,23,0.05386295972147037
4,24,0.053799894702075246
4,25,0.0539279357961181
5,0,340.1640000000001
5,1,341.1540000000003
5,2,342.1468812572764
5,3,343.1426521573268
5,4,343.61081118811705
5,5,343.60568126753515
5,6,343.6032189056173
5,7,343.60203697185966
5,8,343.60146964361957
5,9,343.60119732596064
5,10,343.60106661341314
5,11,343.6010038713148
5,12,343.60048185823416
5,13,343.60023129195577
5,14,343.60099868252
5,15,343.6004793676126
5,16,343.6004838556853
5,17,343.60062096138853
5,18,343.6008580687928
5,19,343.6010717941787
5,20,343.60124962577373
5,21,343.60139609146177
5,22,343.60151020287776
5,23,343.6015923968563
5,24,343.60164897139106
5,25,343.60160252188376
6,0,1117.8387000000002
6,1,1118.8287000000005
6,2,1119.8195767812394
6,3,1120.8113311202276
6,4,1121.8039769100326
6,5,1122.7975280437229
6,6,1123.7919984143657
6,7,1124.7874019150288
6,8,1125.7837524387803
6,9,1126.781063878688
6,10,1127.7793501278197
6,11,1128.7786250792433
6,12,1129.1315834708503
6,13,1129.130760066012
6,14,1129.1310024242755
6,15,1129.1309914792662
6,16,1129.1309122592893
