fromRegion,toRegion,decisionPeriod,transferIndicator
1,1,10,1
1,1,20,1
1,1,30,1
1,1,40,1
1,1,50,1
1,1,60,1
1,1,70,1
1,1,80,1
1,1,90,1
1,1,100,1
1,1,110,1
1,1,120,1
1,1,130,1
1,1,140,1
1,1,150,1
1,2,30,1
1,2,50,1
1,2,60,1
1,2,90,1
1,2,100,1
1,2,110,1
1,2,130,1
1,2,140,1
1,2,150,1
1,4,10,1
1,4,20,1
1,4,30,1
1,4,40,1
1,4,60,1
1,4,70,1
1,4,80,1
1,4,120,1
1,4,130,1
1,4,140,1
1,4,150,1
1,9,20,1
1,9,40,1
1,9,80,1
1,9,110,1
1,9,120,1
1,9,130,1
1,10,10,1
1,10,30,1
1,10,50,1
1,10,110,1
1,10,130,1
1,10,150,1
1,12,10,1
1,12,30,1
1,12,70,1
1,12,80,1
1,12,100,1
1,12,120,1
1,14,40,1
1,14,50,1
1,14,60,1
1,14,90,1
1,14,110,1
1,14,130,1
1,14,150,1
1,15,20,1
1,15,50,1
1,15,60,1
1,15,110,1
1,20,10,1
1,20,30,1
1,20,40,1
1,20,50,1
1,20,60,1
1,20,80,1
1,20,90,1
1,20,100,1
1,20,110,1
1,20,130,1
1,20,140,1
1,20,150,1
1,33,10,1
1,33,20,1
1,33,50,1
1,33,70,1
1,33,80,1
1,33,90,1
1,33,100,1
1,33,110,1
1,33,120,1
1,33,130,1
1,37,10,1
1,37,30,1
1,37,40,1
1,37,60,1
1,37,90,1
1,37,100,1
1,37,110,1
1,37,120,1
1,37,140,1
1,41,20,1
1,41,40,1
1,41,70,1
1,41,90,1
1,41,120,1
1,41,140,1
1,41,150,1
1,54,10,1
1,54,20,1
1,54,70,1
1,54,80,1
1,54,100,1
1,54,120,1
1,54,130,1
1,58,40,1
1,58,50,1
1,58,60,1
1,58,70,1
1,58,90,1
1,58,100,1
1,58,140,1
1,58,150,1
1,61,10,1
1,61,40,1
1,61,70,1
1,61,90,1
1,61,100,1
1,61,140,1
1,63,20,1
1,63,30,1
1,63,40,1
1,63,50,1
1,63,60,1
1,63,80,1
1,63,90,1
1,63,100,1
1,63,120,1
1,63,140,1
2,1,10,1
2,1,20,1
2,1,40,1
2,1,70,1
2,1,120,1
2,2,10,1
2,2,20,1
2,2,30,1
2,2,40,1
2,2,50,1
2,2,60,1
2,2,70,1
2,2,80,1
2,2,90,1
2,2,100,1
2,2,110,1
2,2,120,1
2,2,130,1
2,2,140,1
2,2,150,1
2,4,10,1
2,4,30,1
2,4,60,1
2,4,80,1
2,4,90,1
2,4,100,1
2,4,110,1
2,4,120,1
2,4,140,1
2,4,150,1
2,10,10,1
2,10,20,1
2,10,30,1
2,10,90,1
2,10,100,1
2,10,110,1
2,10,130,1
2,10,140,1
2,10,150,1
2,12,20,1
2,12,60,1
2,12,90,1
