fromRegion,toFacility,decisionPeriod,quantity
1,1,10,5000000.0
1,1,20,5000000.0
1,1,30,5000000.0
1,1,40,5000000.0
1,1,50,5000000.0
1,1,60,5000000.0
1,1,70,5000000.0
1,1,80,5000000.0
1,1,90,5000000.0
1,1,100,5000000.0
1,1,110,5000000.0
1,1,120,5000000.0
1,1,130,5000000.0
1,1,140,5000000.0
1,1,150,5000000.0
1,2,30,5000000.0
1,2,50,5000000.0
1,2,60,5000000.0
1,2,90,5000000.0
1,2,100,5000000.0
1,2,110,5000000.0
1,2,130,5000000.0
1,2,140,5000000.0
1,2,150,5000000.0
1,4,10,4999998.434508894
1,4,20,5000000.0
1,4,30,5000000.0
1,4,40,5000000.0
1,4,60,5000000.0
1,4,70,5000000.0
1,4,80,5000000.0
1,4,120,4999785.419710987
1,4,130,403.7282553367228
1,4,140,5000000.0
1,4,150,5000000.0
1,9,20,5000000.0
1,9,40,4999948.19179194
1,9,80,5000000.0
1,9,110,4999980.038131835
1,9,120,5000000.0
1,9,130,5000000.0
1,10,10,5000000.0
1,10,30,5000000.0
1,10,50,123.63910448830575
1,10,110,5000000.0
1,10,130,5000000.0
1,10,150,5000000.0
1,12,10,5000000.0
1,12,30,5000000.0
1,12,70,5000000.0
1,12,80,5000000.0
1,12,100,5000000.0
1,12,120,5000000.0
1,14,40,5000000.0
1,14,50,4999779.297809368
1,14,60,54.55613688457697
1,14,90,5000000.0
1,14,110,5000000.0
1,14,130,5000000.0
1,14,150,5000000.0
1,15,20,5000000.0
1,15,50,5000000.0
1,15,60,5000000.0
1,15,110,5000000.0
1,20,10,4999632.829150484
1,20,30,5000000.0
1,20,40,5000000.0
1,20,50,5000000.0
1,20,60,5000000.0
1,20,80,5000000.0
1,20,90,4999999.978724839
1,20,100,5000000.0
1,20,110,5000000.0
1,20,130,4999729.559785669
1,20,140,5000000.0
1,20,150,5000000.0
1,33,10,5000000.0
1,33,20,5000000.0
1,33,50,5000000.0
1,33,70,5000000.0
1,33,80,5000000.0
1,33,90,5000000.0
1,33,100,112.40815256931953
1,33,110,5000000.0
1,33,120,5000000.0
1,33,130,5000000.0
1,37,10,5000000.0
1,37,30,5000000.0
1,37,40,5000000.0
1,37,60,5000000.0
1,37,90,277.94765227880634
1,37,100,5000000.0
1,37,110,5000000.0
1,37,120,5000000.0
1,37,140,5000000.0
1,41,20,5000000.0
1,41,40,270.6855024835095
1,41,70,5000000.0
1,41,90,4999567.664579684
1,41,120,5000000.0
1,41,140,5000000.0
1,41,150,5000000.0
1,54,10,5000000.0
1,54,20,5000000.0
1,54,70,4999772.994709147
1,54,80,4999999.808636041
1,54,90,43.06126335140873
1,54,100,5000000.0
1,54,120,5000000.0
1,54,130,4999794.669914473
1,58,40,5000000.0
1,58,50,5000000.0
1,58,60,5000000.0
1,58,70,5000000.0
1,58,90,5000000.0
1,58,100,246.23856564212247
1,58,110,36.24469405617436
1,58,130,32.2209694221705
1,58,140,5000000.0
1,58,150,5000000.0
1,61,10,5000000.0
1,61,40,5000000.0
1,61,70,5000000.0
1,61,90,4999999.99724534
1,61,100,4999987.578090054
1,61,140,5000000.0
1,63,20,5000000.0
1,63,30,5000000.0
1,63,40,5000000.0
1,63,50,5000000.0
1,63,60,5000000.0
1,63,80,5000000.0
1,63,90,5000000.0
1,63,100,54.5821794173721
1,63,120,5000000.0
1,63,140,5000000.0
2,1,10,5000000.0
2,1,20,5000000.0
2,1,40,5000000.0
2,1,70,5000000.0
2,1,80,31.071338229373332
2,1,120,5000000.0
2,2,10,5000000.0
2,2,20,5000000.0
2,2,30,5000000.0
2,2,40,5000000.0
2,2,50,5000000.0
2,2,60,5000000.0
2,2,70,5000000.0
2,2,80,5000000.0
2,2,90,5000000.0
2,2,100,5000000.0
2,2,110,5000000.0
2,2,120,5000000.0
2,2,130,5000000.0
2,2,140,5000000.0
2,2,150,5000000.0
2,4,10,5000000.0
2,4,30,5000000.0
2,4,60,5000000.0
2,4,80,5000000.0
2,4,90,5000000.0
2,4,100,5000000.0
2,4,110,5000000.0
2,4,120,5000000.0
2,4,140,5000000.0
2,4,150,5000000.0
2,10,10,5000000.0
2,10,20,5000000.0
2,10,30,5000000.0
2,10,90,5000000.0
2,10,100,4999939.147501141
2,10,110,5000000.0
2,10,130,5000000.0
2,10,140,5000000.0
2,10,150,5000000.0
2,12,20,401.10250506177545
2,12,60,5000000.0
2,12,90,5000000.0
2,12,100,53.65354403834669
2,12,120,5000000.0
2,15,10,5000000.0
2,15,50,5000000.0
2,15,60,5000000.0
2,15,70,5000000.0
2,15,80,5000000.0
2,15,90,22.060569399328347
2,15,100,5000000.0
2,15,110,5000000.0
2,15,130,5000000.0
2,15,140,5000000.0
2,15,150,5000000.0
2,20,20,5000000.0
2,20,50,5000000.0
2,20,70,5000000.0
2,20,100,5000000.0
2,20,110,5000000.0
2,20,120,5000000.0
2,20,130,5000000.0
2,20,150,5000000.0
2,23,20,4999644.087524373
2,23,40,5000000.0
2,23,50,5000000.0
2,23,80,5000000.0
2,23,90,5000000.0
2,23,110,5000000.0
2,33,20,5000000.0
2,33,30,5000000.0
2,33,40,5000000.0
2,33,60,5000000.0
2,33,80,5000000.0
2,33,90,5000000.0
2,33,100,5000000.0
2,33,120,5000000.0
2,33,130,5000000.0
2,33,140,4999999.976561854
2,33,150,5000000.0
2,45,10,4999870.333735461
2,45,20,5000000.0
2,45,30,5000000.0
2,45,40,28.73716895116656
2,45,50,5000000.0
